geo;indicator;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008
com;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;30080;0;35000;0;50020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;300;0;0;0;0;0
cpv;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;2225;0;5529;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cri;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127500;0;0;0;0;0;0;8062;716100;0;16710;0;0;0;0;0;0;1075;0;0;55000
cub;storm_affected_annual_number;20;0;0;0;0;0;0;0;176;0;3;0;180000;0;0;498900;0;0;61500;0;0;0;0;149800;110600;165;336700;0;147000;255000;0;5900000;324000;0;247300;2600000;268;192500;499500
cym;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;300;0;2;0;0;0;0
cyp;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;10;0;0;0;0
cze;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;3;0;4;2
deu;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64;0;0;6;11;30000;0;0;18;18;0;6;41;15;2;4;311;148;5
deu_east;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
deu_west;storm_affected_annual_number;0;0;54;0;0;0;82;0;0;0;0;0;0;0;253;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dji;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;775;0;0;0;0;0;0;0;0;0;0;0;0;0
dma;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;72140;0;0;0;0;10000;0;0;0;0;710;0;0;0;0;0;5003;0;0;0;715;0;178;0;0;0;0;0;7532;0
dnk;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;9;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;7;0;0;1;0;0;4;0;0;0
dom;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;1555000;7;0;0;0;0;0;2012;3;0;0;0;0;0;0;0;2841;25020;0;975900;0;0;3;0;10010;14270;1009;0;143100;17020
dza;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10110;0;0;0;0;0;0;0;0;0;0;0;14;0;0;13;0;15;0;0;0
egy;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;15000;0;0;0;0;0;0;0;41;0;0;0;0;0;0;0;0;0;78;0;0;0;0;0;0;55;0;0;0;0
eri;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15680;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
esp;storm_affected_annual_number;0;0;0;19;0;0;0;0;0;0;0;0;0;0;60070;0;0;0;0;33;9;0;0;0;12;0;0;371;0;6;16;10;0;0;0;0;0;1;0
est;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0
fin;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
fji;storm_affected_annual_number;0;0;120000;6209;0;23000;0;0;0;35950;35270;4700;0;211200;0;122000;3001;3370;0;0;6000;0;2001;160000;0;0;0;3525;0;1784;0;1;0;30020;5016;0;168;70;7
fra;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;12;11;4;0;0;4;0;9;43;0;2048;1732;0;5016;1;0;696;3500000;213;434;258;76;11;0;607;905;2709
fsm;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1670;1000;6009;0;0;0;0
gbr;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;12;0;17;22;0;0;20;0;13;200100;48;0;0;0;9;12000;0;253000;211;20120;0;14;0;0;3010;0;13;0
geo;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;900;0;0;0;0;0;0;0
gin;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
glp;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11090;0;0;0;0;0;0;0;0;0;903;0;0;0;0;0;0;0;0;0
gmb;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8022;6139;0;0;0;300
gnb;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3704;0;0;0;0;0;1722;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
grc;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;0;0;3;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;603;0;0
grd;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;0;210;0;0;0;0;60040;1651;0;0;0
gtm;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;106100;0;0;6454;1502;0;0;476800;0;3905;17
gum;storm_affected_annual_number;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;502;0;0;0;0;5543;0;0;0;0;6420;0;0;0;0;15140;0;504;0;0;0;0
hkg;storm_affected_annual_number;0;1601;0;277;2401;2059;2530;129;2907;12600;370;0;905;2584;0;614;46;0;104;1664;0;204;442;1326;0;0;0;256;0;495;0;0;0;3537;0;0;0;0;209
hnd;storm_affected_annual_number;0;0;0;0;608000;0;0;0;7500;0;0;0;20130;0;0;0;0;0;12;0;0;0;0;0;0;40;1;0;2127000;0;0;86340;0;0;0;103900;0;19500;0
hrv;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
hti;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;1118;1165000;0;0;0;0;0;0;0;870100;0;0;0;0;0;1588000;0;181;0;12220;0;0;0;254;181;324900;28050;15000;115200;247000
hun;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;7;0;4;305;0;0
idn;storm_affected_annual_number;0;0;0;1650;2010;0;25;3061;0;0;800;0;125;0;0;10000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3719;0;0;0;0
