geo;indicator;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
bol;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30.26;18.45;;18.31;17.54;;1.5;;;3.33;;;;;;;;;;2.2028;1.3369;;;1.1178;;0.7699;0.7967;0.5678;0.5412;0.5073;0.5946;0.5583
bra;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.35;;;;;1.5995;1.6957;2.8121;2.9038;2.3797;;1.8511;2.0206;2.3048;1.2396;2.207;1.5027;1.4763;1.3862;1.8253;;1.3722;1.3929;1.1724;1.2405;1.7032;2.3786;3.1414
brb;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;;;;;;;;4.35;;;;;;5.26;5.13;;;2.0;0.0;2.08;1.85;
brn;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.8623;;;
btn;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;;;;0.0;4.69;0.0;0.03;0.0;0.0;;;
bwa;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.46;;;;;;3.65;;;;;;;;;;;;;;;2.79;;;;0.29;;;;;;;
can;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.1615;2.1773;1.8631;1.9577;1.6506;1.8022;2.6847;2.2248;2.1;2.0233;2.4426;2.71;2.1796;1.8962;1.611;3.9288;4.8962;5.2981;5.0874;4.2514;3.8316;3.0937;2.7596;2.7453;2.6507;3.3143;3.1669;3.4168;3.2181;3.4147;4.4149;3.5515;2.82;4.4421;4.8179;4.7572;4.5814;4.3606;4.1173;4.5809;4.6155;5.1267
che;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.6579999999999999;0.45399999999999996;0.563;0.318;0.675;1.5326;1.0975;;2.3348;2.46;;;0.6309;0.3977;0.5365;0.9157;0.9076;0.9635;0.7394;0.7029;0.7525;0.7491;0.7385;0.7033;1.5825;0.6195;0.5377
chl;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.84;2.64;;;;;;7.122999999999999;;3.1216;0.97;2.9667;0.91;4.585;1.9980000000000002;1.864;3.1919999999999997;4.561;2.824;3.573;3.0869999999999997;3.7739999999999996;3.694;4.555;3.553;5.401;5.662999999999999;3.0148;2.813;2.4402;2.1665;3.0577;2.8115;2.6143;2.6682
civ;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.3694;0.8938;;;;
cmr;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.18;;;;0.3105;;;
cod;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.7747;;;;;;;2.0881;;;;;
cog;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.4974;;;;;;;;;;;;
cok;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.41;;;;;;
col;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.27;2.62;;;2.94;;;;;5.71;6.482;6.765;4.593;4.144;;4.4830000000000005;4.367;5.0280000000000005;4.512;4.6546;4.2128;3.4608;3.6597;3.3506;3.5291;3.2286
