geo;indicator;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
lbn;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.86;;;4.95;;;;;;;;;;
lbr;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.3435;;;;;;;
lby;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.49;;;;;
lca;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.7;15.22;;;;;;;;;;;;;
lka;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.25;0.47;;;;;;;
lso;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28.4;;;;;;;;;42.99;;;;;12.76;;;;
ltu;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;7.3622;;;;;2.8208;2.4762;2.0882;1.0593;0.7466;1.3467;1.5212;1.0213;1.3911;0.6292
lux;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.3521;;5.9358
lva;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;7.0116;6.8779;1.5903;;6.0203;;4.4836;6.0032;2.3349;2.5886;0.8473;2.9026;4.7008;2.2554;2.9291;3.5289;1.7656;3.0926;1.8134;3.2631
mac;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;3.5714;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.61;1.43;1.28;1.1905;0.5495
mar;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.31;0.42;;;;;
mco;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;3.41;
mda;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.38;0.35;1.25;;0.66;0.22;0.0;0.39;;;;;;;;
mdg;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.17;;
mdv;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.85;;4.1148;
mex;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.41;;;0.7829999999999999;1.037;1.3769999999999998;1.453;1.7990000000000002;1.114;1.3459999999999999;1.4980000000000002;0.647;0.66;0.584;0.461;0.546;0.927;1.0993;1.1022;1.0911;1.1972;1.4796;1.5736;1.5899;1.5011;1.5523;1.339;1.1543;0.9844;0.9882
mhl;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.69;;;;;;;;;;;;;;;;;;
mkd;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.68;2.11;;;3.1896;3.2088;8.8236;12.2534;6.3146;6.7667;9.4177;7.426;6.8111;;1.0991;1.1916
mli;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.73;;;;4.5761;;0.09;
mlt;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.7690000000000001;1.3937;
mmr;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1826;;
mne;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.57;;;;;
mnp;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20.97;;;;;;;;;;;;;;
moz;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3371;;
mrt;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.4046;;;;;
mtq;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;0.0;;;;;;;;;
mus;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.4;;;;;;;;;;;;;;;;2.6532;;;1.2214;;0.7331;
mwi;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.9731;;;;
nam;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.3;;;;;;;;0.9888;;0.8373;;3.2761;
ncl;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.49;;;
ner;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.71;;;;;;;;;;;;;;;;
nga;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.73;;;;;;;;;;;;;;;;;;;;;;;;;;;0.8337;;;;
nic;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.36;6.72;;;;;;;;;;;;;;;;1.83;;;;;;1.4371;;0.1915;;;
niu;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;
nld;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.23;;1.52;;;;;;;;;;;;;;;;;;;;;;;0.7571;2.9126;3.5847;1.5902;2.977;0.9952;4.8835;3.1301;1.7285;2.9727;3.4417;4.2873;5.0913;4.8337;3.8608;3.9088
nld_curacao;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.2;7.87;;
nor;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.389;1.695;1.8869999999999998;1.9609999999999999;2.041;2.2129;1.8886;;1.7324;;2.6675;4.0677;;;;1.296;1.5461;0.8889;0.5079;1.1856;0.7243;0.6168;0.4802;0.6992;0.6851;0.887;0.9043;1.1045
npl;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1927;;;;;;;;;
nzl;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.5993;1.5192;1.6016;3.4126;2.146;2.222;1.449;1.4709999999999999;1.25;1.261;0.743;0.784;0.8;1.325;1.52;1.064;1.422;1.1261;0.777;1.455;1.929;0.846;1.2790000000000001;1.329;1.974;1.719;1.662;1.705;1.5930000000000002;1.5417;1.16;1.14
pak;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.84;;13.95;14.23;;16.95;;16.92;;14.51;;0.3405;;;;;;;1.5187;;8.1205;;
pan;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.92;0.5916;0.6068;;;;;0.7221;
per;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.84;;;;;;;;;2.5835;1.8273;1.6266;1.7037;1.2998;1.2537;1.5431;1.746;1.0355;1.5314;0.7997;1.3583;1.0572;1.4026;1.5851;1.8896
phl;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.41;;9.17;8.27;8.22;5.19;9.7;6.7;6.36;6.66;7.51;6.64;6.6;7.05;5.87;6.46;0.1948;7.09;0.2244;0.1927;0.1761;0.2031;0.192;0.16899999999999998;0.121;0.1222;0.147;0.1123;0.1892;0.18899999999999997;;0.2166;0.2135
plw;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.11;;;;;;;;;;;;;;;;;;;;;;
png;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.44;;;;;;;;;;0.4251;;;;;;;
pol;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.338;2.263;2.3040000000000003;1.766;1.5090000000000001;1.9791;1.9349;1.9289;3.9704;1.7745;2.2785;1.1546;1.2525;2.1083;1.4817;2.0009;1.4542;0.7981;1.8985;1.2643;1.5621;1.8075;1.8133;1.4912;1.4279;1.0196
pri;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.32;8.22;3.24;3.73;;;;;;;;;;;;;;;;3.33;3.45;2.7;2.94;3.03;;;2.7;2.44;;2.56;2.17;2.33;2.44;;;;;;;;;
prt;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4847;0.6532;0.8858;;;0.2088;;;1.0479;;;0.4467;0.3762;0.23;;0.2915;;;0.3369;0.2138;0.0628;0.2208;0.1495;0.355;0.5387;1.0082;1.5897;1.2472;1.7705;2.5155;1.9829;2.4898
pry;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.7925;3.782;1.2717;0.9506;;1.7289;;;;1.8377;1.0056;1.2955;1.9105;1.3639;2.1961;2.003
pse;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.1372;;;;;2.5652;4.5378;9.474;4.573;5.5919;3.8028;2.7128;3.2087;6.4943;8.4351;7.2359;2.7341;2.7234;3.1153;2.5229;6.3885;4.4844;5.4329
pyf;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.33;;;;;1.25;;;;;1.43;;;;;
qat;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;
reu;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.83;;;;;;;;;;;;;;;;;;;;;;0.0;;;;1.9;
rou;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;0.0;;;0.0476;0.1096;0.1364;0.0806;0.0425;0.1114;0.0496;0.0534;;0.1023;0.1778;0.0778;0.1987
rus;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.688;4.062;4.436;5.24;4.685;6.702000000000001;8.725;5.729;4.454;3.7939999999999996;2.758;3.784;4.0569999999999995;4.126;2.572;2.09;3.717;4.14;3.7645;2.9062;3.0859;2.719;2.8308;2.8365;3.1884;3.3535
rwa;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.35;;;;;10.5496
sau;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.7;0.93;2.64;;;;;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;
sen;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.71;;;;;;;;;3.51;;;;2.0921;;
sgp;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98;;3.79;1.15;;1.19;;1.12;0.93;1.38;0.82;0.47;1.54;1.59;0.83;4.24;2.85;1.4;3.74;2.86;3.37;;3.69;2.71;3.26;4.67;2.92;3.01;4.38;3.7;3.37;4.16;3.87;
shn;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.41;;;;;;;;;;;;;;;;;;;
sle;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.6953;;;
slv;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.69;;;;2.0;6.76;3.55;;;;;;;;6.65;6.01;;6.64;1.0814;0.6006;1.15;0.9919;0.8549;1.5947;1.3707;1.1825
smr;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.03;0.0;;;;;1.04;2.08;
srb;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.69;1.0;0.96;;;;;3.0388;0.9462;0.7099;0.9454;0.7625;1.5035
ssd;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.99;;;;;;;;;
stp;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.24;;;;;;;;;;;;;;;;;;;;;29.86;;;;;
svk;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.375;6.0;12.36;6.41;11.8967;8.3705;16.4926;8.8065;12.7322;;8.7903;9.1413;;2.7831;1.6275;1.2773;2.6563;2.4345;3.6643;4.1123;6.4064;2.7163;2.4608;1.8687
svn;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.95;;;;;7.6718;;;;;;0.21;;;;;;;;;;;;;;;
swe;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.4080000000000001;0.0;0.0;0.0;0.0;;;;;;;2.1975;;;1.6479;0.6852;2.1971;1.7315;2.0657;2.451;2.0706;2.0136;2.6248;2.0275;2.7921;2.4330000000000003;2.4601;2.8261
swz;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.95;;;;;;;;;;;;;;;;;;;;;7.0999;
syc;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;3.19;;;;;;;;;2.2;;;;;;
syr;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.32;2.9;;;;0.63;;3.55;0.63;5.97;;;;;;
tgo;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.25;;;;;;
tha;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2;0.0145;0.06;0.01;;0.026000000000000002;0.0522;;
tjk;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.6632;;;;;;;;
tls;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.6417;;;;
tto;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.96;;5.0;;4.4;4.4;;4.82;5.26;4.3;;2.41;;;1.98;1.03;2.13;;;2.6491;;;;;;;
tun;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4137;1.4354;1.29;1.4274;1.0239;3.0056;1.3965;1.0982;1.3076;;;;
tur;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.44;1.08;1.453;1.24;0.9520000000000001;0.446;1.085;1.09;0.733;0.747;0.914;0.725;0.5329999999999999;0.789;0.857;0.593;1.097;0.662;0.6533;0.4591;0.7822;1.0974;1.2834;0.8646;0.8487;1.0012;2.0295;2.3408;2.4935;2.045
twn;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.2258;3.0769;0.0;1.4925;1.4706;0.0;0.0;1.0989;0.0;0.0;0.0;0.8264;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6329;0.0;0.0;0.0;1.5464;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
tza;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.6488;;;;;0.9746;;;;;1.36;;0.08;0.2141;;;
uga;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.23;;;;;;;;;;;;;;;;;;;;;1.2663;;;;;
ukr;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.51;0.11;;;;;;;;;0.1;0.25;0.29;
ury;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.63;;;;;;;;5.0446;4.2649;5.2966;4.3183;2.7966;3.3939;3.2186;2.7188;2.7309;2.2492;2.1238;2.6907;2.7979;2.0349
usa;aged_65plus_unemployment_rate_percent;3.2;4.9;4.5;3.4;2.9;2.2;4.1;3.6;3.2;3.4;4.8;4.3;3.8;5.1;4.5;4.1;3.8;3.3;3.0;2.8;2.8;2.2;3.2;3.5;3.6;3.0;3.4;5.2;5.1;5.0;4.0;3.4;3.1;3.2;3.5;3.7;3.3;3.2;3.0;2.5;2.7;2.6;3.0;3.3;3.8;3.2;3.9672;3.9375;3.5001;3.2099;3.1655;3.0837;3.0713;2.9487;3.6494;3.8283;3.5789999999999997;3.4807;2.8989;3.2704;4.2283;6.4375;6.6892;6.5369;6.2205;5.3465;4.6228;3.8317;3.8272;3.5875
vct;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.9;;;;;;;;;;;;;;;;;;;;;;;;;;
ven;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.34;;;;;5.62;4.68;;7.25;5.36;5.02;4.83;;;;;
vgb;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.43;;;;;;;;;;;;;;;;;;;;;;;;;;
vnm;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.29;;;0.0884;;;0.05;0.0687;0.0559;0.0386;0.0775;0.1811;0.2824;0.2004
vut;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.54;;;;;;;;
wsm;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.55;;;;;0.08;;;;;;2.1871;;2.17;;;
yem;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.45;;;;;2.73;;;;;;;;;;;13.21;;;;1.2046;;;
zaf;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.7637;4.3863;3.2504;4.5244;3.7481;3.9726;3.2246;4.0535;3.0155;4.2473
zmb;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.23;;;;;;;;;;2.7;;0.84;;;;;
zwe;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3;;0.95;;;;;0.7;;;;;;;1.1107;;;;;;
