geo;indicator;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
bfa;mean_years_in_school_men_35_to_44_years;0.64;0.66;0.68;0.7;0.72;0.74;0.76;0.78;0.8;0.82;0.85;0.87;0.9;0.92;0.95;0.97;1.0;1.03;1.06;1.09;1.12;1.15;1.18;1.21;1.25;1.28;1.32;1.36;1.39;1.43;1.47;1.51;1.55;1.6;1.64;1.68;1.73;1.77;1.82;1.87;1.92;1.97;2.02;2.07;2.12;2.18
bgd;mean_years_in_school_men_35_to_44_years;2.11;2.16;2.22;2.27;2.33;2.39;2.45;2.51;2.57;2.63;2.69;2.76;2.83;2.89;2.96;3.03;3.1;3.18;3.25;3.32;3.4;3.48;3.55;3.63;3.71;3.79;3.87;3.95;4.04;4.12;4.21;4.29;4.38;4.47;4.57;4.66;4.75;4.85;4.95;5.05;5.15;5.26;5.37;5.47;5.58;5.7
bgr;mean_years_in_school_men_35_to_44_years;7.74;7.86;7.99;8.11;8.23;8.35;8.47;8.59;8.71;8.82;8.93;9.05;9.16;9.27;9.37;9.48;9.58;9.68;9.78;9.87;9.96;10.05;10.14;10.22;10.3;10.38;10.48;10.58;10.68;10.79;10.9;11.01;11.12;11.24;11.36;11.47;11.59;11.71;11.83;11.95;12.08;12.2;12.32;12.45;12.57;12.69
bhr;mean_years_in_school_men_35_to_44_years;3.51;3.61;3.71;3.82;3.93;4.04;4.16;4.27;4.39;4.52;4.65;4.78;4.91;5.05;5.19;5.34;5.49;5.64;5.8;5.96;6.12;6.29;6.47;6.64;6.82;7.0;7.13;7.25;7.38;7.51;7.63;7.75;7.88;8.0;8.13;8.25;8.38;8.51;8.63;8.76;8.89;9.02;9.15;9.28;9.41;9.54
bhs;mean_years_in_school_men_35_to_44_years;6.19;6.31;6.43;6.56;6.68;6.81;6.94;7.06;7.19;7.32;7.46;7.59;7.72;7.86;7.99;8.13;8.26;8.4;8.54;8.68;8.81;8.95;9.09;9.23;9.37;9.51;9.65;9.79;9.93;10.07;10.21;10.35;10.49;10.63;10.77;10.91;11.04;11.18;11.32;11.46;11.59;11.73;11.86;12.0;12.13;12.26
bih;mean_years_in_school_men_35_to_44_years;5.36;5.47;5.58;5.7;5.81;5.92;6.04;6.16;6.28;6.4;6.52;6.64;6.76;6.89;7.01;7.14;7.27;7.4;7.53;7.66;7.79;7.92;8.06;8.19;8.33;8.46;8.6;8.75;8.89;9.03;9.17;9.31;9.46;9.6;9.75;9.89;10.03;10.18;10.32;10.47;10.61;10.76;10.9;11.04;11.18;11.33
blr;mean_years_in_school_men_35_to_44_years;7.49;7.62;7.75;7.88;8.02;8.15;8.28;8.42;8.56;8.69;8.83;8.97;9.11;9.25;9.39;9.53;9.68;9.82;9.96;10.11;10.26;10.4;10.55;10.7;10.85;11.0;11.17;11.34;11.5;11.66;11.83;11.99;12.15;12.31;12.46;12.62;12.77;12.93;13.08;13.22;13.37;13.51;13.65;13.79;13.92;14.05
blz;mean_years_in_school_men_35_to_44_years;4.04;4.13;4.22;4.32;4.41;4.51;4.61;4.71;4.81;4.91;5.01;5.12;5.23;5.34;5.45;5.56;5.67;5.78;5.9;6.01;6.13;6.25;6.37;6.49;6.61;6.74;6.85;6.97;7.1;7.22;7.34;7.47;7.6;7.73;7.86;7.99;8.12;8.25;8.38;8.51;8.65;8.78;8.92;9.06;9.19;9.33
bol;mean_years_in_school_men_35_to_44_years;4.17;4.27;4.37;4.47;4.57;4.67;4.78;4.89;5.0;5.11;5.22;5.34;5.45;5.57;5.69;5.82;5.94;6.07;6.19;6.32;6.45;6.58;6.71;6.85;6.98;7.12;7.25;7.38;7.51;7.64;7.78;7.91;8.04;8.18;8.31;8.45;8.59;8.72;8.86;9.0;9.13;9.27;9.41;9.55;9.69;9.83
bra;mean_years_in_school_men_35_to_44_years;2.99;3.06;3.14;3.21;3.29;3.37;3.46;3.54;3.62;3.71;3.8;3.89;3.98;4.07;4.17;4.26;4.36;4.46;4.56;4.66;4.77;4.87;4.98;5.09;5.2;5.31;5.42;5.53;5.64;5.75;5.86;5.98;6.09;6.21;6.32;6.44;6.56;6.68;6.8;6.92;7.05;7.17;7.3;7.42;7.55;7.68
