geo;indicator;2004;2005;2006;2007
kgz;total_number_of_dollar_billionaires;0;0;0;0
khm;total_number_of_dollar_billionaires;0;0;0;0
kir;total_number_of_dollar_billionaires;0;0;0;0
kna;total_number_of_dollar_billionaires;0;0;0;0
kor;total_number_of_dollar_billionaires;2;3;4;10
kos;total_number_of_dollar_billionaires;0;0;0;0
kwt;total_number_of_dollar_billionaires;2;2;3;4
lao;total_number_of_dollar_billionaires;0;0;0;0
lbn;total_number_of_dollar_billionaires;1;0;3;4
lbr;total_number_of_dollar_billionaires;0;0;0;0
lby;total_number_of_dollar_billionaires;0;0;0;0
lca;total_number_of_dollar_billionaires;0;0;0;0
lie;total_number_of_dollar_billionaires;1;1;0;0
lka;total_number_of_dollar_billionaires;0;0;0;0
lso;total_number_of_dollar_billionaires;0;0;0;0
ltu;total_number_of_dollar_billionaires;0;0;0;0
lux;total_number_of_dollar_billionaires;0;0;0;0
lva;total_number_of_dollar_billionaires;0;0;0;0
mac;total_number_of_dollar_billionaires;0;0;0;0
mar;total_number_of_dollar_billionaires;0;0;0;0
mco;total_number_of_dollar_billionaires;0;1;1;1
mda;total_number_of_dollar_billionaires;0;0;0;0
mdg;total_number_of_dollar_billionaires;0;0;0;0
mdv;total_number_of_dollar_billionaires;0;0;0;0
mex;total_number_of_dollar_billionaires;11;10;10;10
mhl;total_number_of_dollar_billionaires;0;0;0;0
mkd;total_number_of_dollar_billionaires;0;0;0;0
mli;total_number_of_dollar_billionaires;0;0;0;0
mlt;total_number_of_dollar_billionaires;0;0;0;0
mmr;total_number_of_dollar_billionaires;0;0;0;0
mne;total_number_of_dollar_billionaires;0;0;0;0
mng;total_number_of_dollar_billionaires;0;0;0;0
mnp;total_number_of_dollar_billionaires;0;0;0;0
moz;total_number_of_dollar_billionaires;0;0;0;0
mrt;total_number_of_dollar_billionaires;0;0;0;0
msr;total_number_of_dollar_billionaires;0;0;0;0
mtq;total_number_of_dollar_billionaires;0;0;0;0
mus;total_number_of_dollar_billionaires;0;0;0;0
mwi;total_number_of_dollar_billionaires;0;0;0;0
mys;total_number_of_dollar_billionaires;5;6;8;9
myt;total_number_of_dollar_billionaires;0;0;0;0
nam;total_number_of_dollar_billionaires;0;0;0;0
ncl;total_number_of_dollar_billionaires;0;0;0;0
ner;total_number_of_dollar_billionaires;0;0;0;0
nfk;total_number_of_dollar_billionaires;0;0;0;0
nga;total_number_of_dollar_billionaires;0;0;0;0
ngokar;total_number_of_dollar_billionaires;0;0;0;0
nic;total_number_of_dollar_billionaires;0;0;0;0
niu;total_number_of_dollar_billionaires;0;0;0;0
nld;total_number_of_dollar_billionaires;4;4;4;4
nor;total_number_of_dollar_billionaires;4;4;4;4
npl;total_number_of_dollar_billionaires;0;0;0;0
nru;total_number_of_dollar_billionaires;0;0;0;0
nzl;total_number_of_dollar_billionaires;0;0;2;3
omn;total_number_of_dollar_billionaires;0;0;0;1
pak;total_number_of_dollar_billionaires;0;0;0;0
pan;total_number_of_dollar_billionaires;0;0;0;0
pcn;total_number_of_dollar_billionaires;0;0;0;0
per;total_number_of_dollar_billionaires;0;0;0;0
phl;total_number_of_dollar_billionaires;2;3;3;3
plw;total_number_of_dollar_billionaires;0;0;0;0
png;total_number_of_dollar_billionaires;0;0;0;0
pol;total_number_of_dollar_billionaires;0;2;3;5
pri;total_number_of_dollar_billionaires;0;0;0;0
prk;total_number_of_dollar_billionaires;0;0;0;0
prt;total_number_of_dollar_billionaires;2;1;1;1
pry;total_number_of_dollar_billionaires;0;0;0;0
pse;total_number_of_dollar_billionaires;0;0;0;0
pyf;total_number_of_dollar_billionaires;0;0;0;0
qat;total_number_of_dollar_billionaires;0;0;0;0
reu;total_number_of_dollar_billionaires;0;0;0;0
rou;total_number_of_dollar_billionaires;0;0;0;1
rus;total_number_of_dollar_billionaires;25;27;33;53
rwa;total_number_of_dollar_billionaires;0;0;0;0
sau;total_number_of_dollar_billionaires;8;7;11;13
scg;total_number_of_dollar_billionaires;0;0;0;0
scg_ex_kos;total_number_of_dollar_billionaires;0;0;0;0
sdn;total_number_of_dollar_billionaires;0;0;0;0
sen;total_number_of_dollar_billionaires;0;0;0;0
sgp;total_number_of_dollar_billionaires;5;4;4;4
shn;total_number_of_dollar_billionaires;0;0;0;0
sjm;total_number_of_dollar_billionaires;0;0;0;0
slb;total_number_of_dollar_billionaires;0;0;0;0
sle;total_number_of_dollar_billionaires;0;0;0;0
slv;total_number_of_dollar_billionaires;0;0;0;0
smr;total_number_of_dollar_billionaires;0;0;0;0
som;total_number_of_dollar_billionaires;0;0;0;0
som_somland;total_number_of_dollar_billionaires;0;0;0;0
sosset;total_number_of_dollar_billionaires;0;0;0;0
spm;total_number_of_dollar_billionaires;0;0;0;0
srb;total_number_of_dollar_billionaires;0;0;0;1
stbar;total_number_of_dollar_billionaires;0;0;0;0
stmar;total_number_of_dollar_billionaires;0;0;0;0
stp;total_number_of_dollar_billionaires;0;0;0;0
sur;total_number_of_dollar_billionaires;0;0;0;0
svk;total_number_of_dollar_billionaires;0;0;0;0
svn;total_number_of_dollar_billionaires;0;0;0;0
swe;total_number_of_dollar_billionaires;8;9;8;8
swz;total_number_of_dollar_billionaires;0;0;0;0
syc;total_number_of_dollar_billionaires;0;0;0;0
syr;total_number_of_dollar_billionaires;0;0;0;0
tca;total_number_of_dollar_billionaires;0;0;0;0
tcd;total_number_of_dollar_billionaires;0;0;0;0
tgo;total_number_of_dollar_billionaires;0;0;0;0
tha;total_number_of_dollar_billionaires;2;3;3;3
tjk;total_number_of_dollar_billionaires;0;0;0;0
tkl;total_number_of_dollar_billionaires;0;0;0;0
tkm;total_number_of_dollar_billionaires;0;0;0;0
tls;total_number_of_dollar_billionaires;0;0;0;0
ton;total_number_of_dollar_billionaires;0;0;0;0
transn;total_number_of_dollar_billionaires;0;0;0;0
tto;total_number_of_dollar_billionaires;0;0;0;0
tun;total_number_of_dollar_billionaires;0;0;0;0
tur;total_number_of_dollar_billionaires;6;8;21;25
tuv;total_number_of_dollar_billionaires;0;0;0;0
twn;total_number_of_dollar_billionaires;10;7;5;8
tza;total_number_of_dollar_billionaires;0;0;0;0
uga;total_number_of_dollar_billionaires;0;0;0;0
ukr;total_number_of_dollar_billionaires;0;3;3;7
ury;total_number_of_dollar_billionaires;0;0;0;0
usa;total_number_of_dollar_billionaires;277;341;371;415
ussr;total_number_of_dollar_billionaires;0;0;0;0
uzb;total_number_of_dollar_billionaires;0;0;0;0
vct;total_number_of_dollar_billionaires;0;0;0;0
ven;total_number_of_dollar_billionaires;2;2;2;2
vgb;total_number_of_dollar_billionaires;0;0;0;0
vir;total_number_of_dollar_billionaires;0;0;0;0
vnm;total_number_of_dollar_billionaires;0;0;0;0
vut;total_number_of_dollar_billionaires;0;0;0;0
wlf;total_number_of_dollar_billionaires;0;0;0;0
wsm;total_number_of_dollar_billionaires;0;0;0;0
yem;total_number_of_dollar_billionaires;0;0;0;0
yem_north;total_number_of_dollar_billionaires;0;0;0;0
yem_south;total_number_of_dollar_billionaires;0;0;0;0
yug;total_number_of_dollar_billionaires;0;0;0;0
zaf;total_number_of_dollar_billionaires;2;3;3;3
zmb;total_number_of_dollar_billionaires;0;0;0;0
zwe;total_number_of_dollar_billionaires;0;0;0;0
