geo;indicator;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
gha;sugar_per_person_g_per_day;27.18;26.0;15.52;16.4;22.26;23.08;20.59;25.11;26.55;27.06;25.98;27.37;25.53;19.61;18.09;15.66;10.91;9.38;4.96;5.17;2.36;5.1;3.41;7.28;7.05;7.07;20.87;22.31;18.24;16.13;17.17;23.28;22.4;16.96;22.42;13.4;6.07;12.0;16.19;20.22;19.78;20.07;19.03;22.77;26.01;26.48;27.73;26.13;30.93;35.77;30.38;25.79;40.48
gin;sugar_per_person_g_per_day;8.28;11.78;8.42;7.27;12.02;10.42;7.71;8.08;8.57;8.63;9.03;8.69;8.29;7.91;8.22;8.91;10.57;12.03;18.22;16.63;15.12;14.02;15.91;22.01;26.78;33.79;32.24;20.19;27.03;24.63;27.11;28.04;27.51;27.04;28.81;29.34;30.52;30.78;30.8;31.22;29.38;28.34;31.06;32.1;35.49;35.58;36.26;37.02;37.76;35.53;35.03;32.68;27.23
gmb;sugar_per_person_g_per_day;31.29;30.14;18.32;9.75;39.81;28.24;51.1;55.79;53.49;44.0;51.91;19.3;20.5;21.23;4.69;22.84;40.18;43.71;52.25;51.61;56.74;56.41;72.15;94.63;82.48;125.19;136.81;124.45;128.62;127.77;126.61;101.72;102.63;102.29;104.6;98.4;98.19;95.15;88.63;93.54;72.94;78.01;75.03;80.3;81.43;73.57;77.87;72.57;69.54;69.23;71.19;70.42;72.15
gnb;sugar_per_person_g_per_day;3.91;3.89;6.15;7.0;7.37;7.5;7.06;9.22;10.98;11.65;12.84;13.21;12.69;8.71;7.84;7.38;6.25;9.56;5.08;8.66;9.46;6.48;6.61;6.48;8.84;8.31;5.49;9.04;8.88;5.6;6.46;4.93;5.1;10.14;6.24;14.28;16.81;9.93;12.65;13.89;18.05;14.28;19.22;30.27;29.86;29.12;30.04;29.1;28.69;29.75;29.93;28.69;30.29
grc;sugar_per_person_g_per_day;41.87;41.57;38.69;43.81;50.52;56.86;57.91;57.81;54.16;60.59;66.98;68.47;79.96;82.73;78.81;84.99;87.32;90.41;93.5;73.53;87.95;89.18;89.81;93.03;95.66;95.11;96.95;94.83;100.96;87.29;84.08;89.04;84.4;86.59;85.88;83.63;74.35;87.08;88.48;90.39;94.43;94.18;96.19;100.01;93.16;78.33;86.02;85.14;75.71;77.29;75.12;81.24;80.29
grd;sugar_per_person_g_per_day;100.28;118.33;117.05;127.8;145.43;144.53;153.33;157.02;145.41;136.43;131.16;125.4;102.16;77.07;68.07;72.48;88.32;97.74;99.57;102.85;96.8;112.44;105.92;104.49;91.98;100.66;109.14;113.06;118.01;120.26;117.86;116.65;118.32;115.85;111.25;112.64;104.41;100.27;98.65;97.94;99.13;101.27;102.57;103.27;104.46;104.02;102.37;104.49;102.43;104.33;114.18;111.79;112.2
gtm;sugar_per_person_g_per_day;58.77;63.55;61.06;64.12;72.55;74.82;75.91;77.21;75.13;77.79;76.57;79.82;85.04;82.8;92.83;93.0;96.92;95.18;95.46;105.23;103.62;103.32;93.82;99.87;102.35;107.52;108.7;104.33;106.77;117.29;116.64;117.77;119.54;124.53;123.16;114.3;112.5;114.11;119.2;121.0;117.31;131.48;140.43;136.28;144.41;137.23;152.39;135.14;147.78;135.92;145.41;130.2;131.98
guy;sugar_per_person_g_per_day;108.99;109.91;108.49;111.09;110.83;104.23;103.58;105.82;105.86;108.61;110.09;119.59;131.58;122.51;112.08;135.14;129.15;128.99;120.05;120.38;133.65;133.5;150.06;136.13;115.77;128.88;167.81;150.9;130.21;115.54;89.55;72.8;86.24;85.43;105.11;103.84;100.88;95.51;94.64;93.53;107.66;101.41;104.88;107.7;100.48;99.97;113.04;106.69;102.43;110.25;117.51;118.64;118.42
hkg;sugar_per_person_g_per_day;61.35;55.68;77.3;41.44;68.12;78.82;60.86;68.3;55.6;56.88;49.27;48.82;48.51;58.61;61.74;60.71;73.02;74.88;77.98;53.26;66.33;69.15;80.38;76.36;79.84;82.71;88.51;89.57;93.46;87.69;74.74;84.29;81.53;88.62;100.43;101.45;101.31;103.29;107.96;94.49;99.17;100.5;102.0;97.34;97.93;97.28;99.04;99.24;97.17;99.72;97.82;99.96;98.1
hnd;sugar_per_person_g_per_day;69.63;67.6;68.74;67.13;71.53;68.73;71.29;71.24;82.8;74.98;76.73;77.84;85.12;82.92;81.68;85.52;87.75;92.77;91.87;91.25;93.07;81.24;86.55;84.93;83.45;83.21;80.96;95.15;98.44;107.97;96.81;100.4;105.91;106.3;108.0;109.66;109.65;112.25;111.45;108.8;108.58;107.62;114.91;113.74;116.36;123.89;126.26;125.65;127.59;127.24;124.47;129.88;131.36
hrv;sugar_per_person_g_per_day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;122.94;112.75;127.69;130.98;126.05;113.3;113.65;104.01;124.73;157.59;169.85;186.15;177.76;168.01;170.68;132.28;139.99;138.2;147.59;143.02;128.67;118.48
hti;sugar_per_person_g_per_day;65.03;66.9;64.93;67.07;64.71;61.96;61.86;62.76;62.43;63.1;63.6;64.7;67.76;66.97;66.28;68.38;67.86;69.81;72.86;69.44;65.97;65.12;68.44;57.41;51.53;47.2;42.36;40.14;43.22;45.02;52.63;50.44;45.26;43.59;55.96;51.71;50.85;53.37;65.63;60.09;60.94;63.85;58.58;60.79;60.12;60.28;59.71;58.66;56.61;47.91;49.45;51.05;45.78
hun;sugar_per_person_g_per_day;82.58;83.99;86.27;89.32;89.86;93.92;95.92;94.89;102.35;100.31;103.25;106.19;110.82;112.99;118.26;95.21;104.93;109.17;102.07;113.23;106.06;113.66;106.76;102.89;107.15;108.14;120.93;103.4;119.64;118.73;109.34;123.7;110.23;107.55;117.15;124.99;125.32;130.99;118.89;104.55;103.76;101.93;103.03;103.41;98.75;101.52;95.94;98.26;93.87;93.95;96.78;94.19;95.03
idn;sugar_per_person_g_per_day;32.13;32.61;29.53;32.78;32.43;27.68;33.93;31.88;32.72;32.99;35.64;34.02;31.04;36.52;35.45;36.81;37.74;38.22;39.53;39.21;46.08;43.62;42.52;41.63;39.42;39.43;39.58;39.33;39.03;38.49;38.23;37.4;38.28;42.26;42.88;42.99;45.11;45.15;42.31;44.44;45.08;45.11;45.16;44.9;46.54;39.57;39.11;37.85;39.0;39.27;40.48;43.96;46.53
ind;sugar_per_person_g_per_day;52.53;50.26;50.01;50.43;53.11;52.39;46.57;44.2;50.33;53.19;56.11;51.55;49.22;53.66;51.16;52.27;53.31;58.2;57.28;52.22;53.99;53.19;55.28;65.94;64.17;56.93;49.02;49.0;54.83;56.0;57.34;58.05;51.89;57.3;57.91;56.94;62.31;62.89;62.32;63.69;64.07;62.94;66.22;54.72;54.16;55.14;56.19;62.17;62.35;59.93;60.88;63.65;64.19
irl;sugar_per_person_g_per_day;146.13;139.29;144.08;143.56;146.95;146.7;150.62;153.19;150.62;150.67;154.64;138.27;154.02;146.39;151.24;141.11;142.64;151.48;141.41;134.47;123.56;127.69;122.13;127.32;126.3;124.8;109.25;109.23;110.92;130.1;118.95;130.78;134.66;135.09;125.77;109.99;110.17;106.27;110.66;119.74;117.9;91.19;104.76;103.03;103.98;108.44;116.19;119.61;107.51;104.83;134.9;133.17;125.99
irn;sugar_per_person_g_per_day;63.89;62.8;63.82;66.7;68.79;74.27;70.72;68.66;66.36;66.73;68.45;70.26;77.24;76.6;88.08;89.68;87.39;87.98;87.91;81.5;74.99;65.94;62.92;75.66;75.59;72.59;69.78;64.25;70.06;71.59;73.68;75.85;76.57;77.96;73.59;72.83;72.77;72.69;73.02;72.64;72.62;72.88;72.98;74.5;75.32;77.19;76.31;75.18;77.01;81.19;80.06;79.58;79.76
irq;sugar_per_person_g_per_day;61.82;66.46;70.76;73.59;77.63;81.19;89.91;84.24;85.02;86.16;86.14;85.59;88.14;92.35;93.97;92.87;95.08;93.29;91.31;87.49;90.02;89.16;88.69;90.52;92.58;104.88;102.68;95.51;97.28;71.93;46.52;48.62;47.13;47.54;38.73;33.38;41.53;42.4;47.24;47.18;49.31;51.27;51.55;74.6;64.54;69.71;61.16;50.79;43.52;52.46;51.93;50.37;52.75
isl;sugar_per_person_g_per_day;163.3;164.45;171.75;166.37;165.1;183.8;170.41;164.86;157.01;154.7;145.76;136.46;141.36;136.87;123.85;140.89;165.12;167.7;169.99;152.96;158.5;150.37;153.93;152.98;148.41;153.2;159.91;162.3;157.14;152.76;156.27;155.78;155.77;162.93;166.31;159.44;166.24;159.99;154.36;147.0;141.62;144.53;144.06;137.8;130.57;128.66;127.35;127.94;132.71;133.68;129.69;131.92;131.98
isr;sugar_per_person_g_per_day;97.06;99.03;98.06;101.28;106.07;103.21;104.27;108.7;109.57;114.69;112.29;111.66;111.54;107.63;103.06;96.81;99.14;100.23;100.63;100.11;98.05;98.11;99.2;105.77;107.88;111.53;113.74;111.78;116.53;117.92;119.46;119.55;117.37;120.16;124.17;136.7;140.4;141.55;144.29;144.54;120.15;121.55;107.39;74.88;73.53;70.6;71.57;69.38;71.64;75.55;75.42;76.92;76.16
ita;sugar_per_person_g_per_day;68.67;69.98;72.88;76.28;75.01;76.52;78.7;79.12;83.09;84.45;84.78;91.12;96.72;99.22;81.22;89.81;87.67;89.76;93.41;96.14;95.95;87.58;84.71;82.04;77.27;78.74;78.73;78.89;79.71;83.01;84.91;84.49;83.72;82.47;83.24;84.29;88.1;89.07;80.61;84.74;87.43;85.75;85.81;88.06;87.4;81.89;81.32;81.46;81.18;82.28;84.25;86.37;87.99
jam;sugar_per_person_g_per_day;108.17;110.2;110.45;116.58;119.25;124.93;129.3;134.62;144.05;126.04;135.64;139.16;137.65;136.63;142.43;145.7;151.59;150.22;134.16;153.11;128.78;119.12;121.84;123.57;117.84;123.47;133.28;140.14;155.67;141.78;141.29;138.66;144.85;143.74;108.95;139.53;129.96;136.5;139.08;160.57;156.55;156.69;153.9;136.36;142.95;131.45;131.61;150.96;137.27;137.16;137.53;143.21;134.57
jor;sugar_per_person_g_per_day;73.86;84.83;74.93;57.96;83.93;87.88;91.59;74.79;72.86;73.31;73.43;74.51;60.21;73.57;65.07;103.4;108.02;111.76;128.68;123.8;133.49;115.38;107.66;108.84;112.57;116.32;117.09;115.99;117.85;115.85;115.9;111.8;111.41;108.16;93.79;95.75;106.74;104.44;103.51;114.5;112.68;117.09;122.04;136.98;135.69;143.17;133.5;133.66;115.09;130.19;113.39;132.65;128.43
jpn;sugar_per_person_g_per_day;49.41;54.06;52.23;57.78;61.83;65.43;73.5;80.14;83.78;96.02;88.26;89.72;80.64;82.82;74.48;77.42;83.48;88.8;94.08;91.53;77.3;91.66;89.14;90.54;91.81;93.55;93.33;94.57;96.19;93.51;89.8;88.89;87.19;86.4;84.35;84.38;82.94;83.91;82.32;78.41;80.76;81.55;82.32;82.45;78.57;75.65;82.52;77.8;75.6;69.43;76.3;75.24;74.2
kaz;sugar_per_person_g_per_day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;61.28;55.07;58.21;57.71;52.85;54.22;55.81;57.09;56.89;71.18;81.16;77.95;91.91;93.4;85.0;88.66;86.76;81.95;72.71;78.16;78.71;78.41
ken;sugar_per_person_g_per_day;37.59;38.91;36.66;36.67;38.59;39.61;39.87;40.37;41.88;44.63;50.03;50.62;53.89;54.18;45.86;36.04;44.92;47.49;51.76;57.37;67.58;61.76;55.82;67.07;70.17;75.15;64.57;60.21;65.49;58.1;55.46;52.76;48.45;50.22;50.02;44.77;41.37;49.28;49.14;57.27;53.89;52.31;51.83;51.72;52.33;51.05;49.33;48.34;47.02;46.75;45.49;44.39;43.67
kgz;sugar_per_person_g_per_day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;73.21;43.08;47.26;41.18;43.92;49.91;78.59;74.24;37.13;34.12;38.91;39.85;56.63;62.92;70.49;68.04;69.99;68.9;69.81;73.37;71.85;86.3
khm;sugar_per_person_g_per_day;27.66;28.21;24.65;28.89;32.37;32.21;33.81;35.81;32.02;26.09;24.43;20.95;18.57;15.82;15.32;14.73;14.21;12.59;10.91;11.91;8.93;4.96;5.37;6.76;5.99;7.14;5.3;6.26;4.55;6.35;7.56;10.53;4.22;5.54;5.37;10.59;14.41;16.7;18.66;23.04;31.79;51.31;47.68;62.86;48.95;48.12;48.43;56.94;54.07;51.32;49.58;51.02;51.54
kir;sugar_per_person_g_per_day;56.7;77.71;63.88;58.78;67.54;65.23;79.07;86.8;95.08;97.41;86.88;95.91;75.66;81.13;103.63;54.19;68.12;80.43;105.72;91.13;84.45;95.55;73.08;69.47;88.73;87.14;81.37;83.62;80.28;81.67;102.04;95.26;98.65;97.82;98.06;99.18;108.29;112.66;118.19;116.23;123.28;126.39;128.5;126.56;125.32;125.77;123.78;131.35;125.07;123.07;127.18;123.76;121.83
kna;sugar_per_person_g_per_day;106.58;115.33;113.74;120.75;127.45;128.86;129.09;132.1;132.0;130.22;107.46;140.69;139.56;175.12;154.25;158.28;146.22;138.57;144.87;154.55;158.67;135.65;140.67;139.86;143.31;145.69;140.55;137.55;112.52;111.23;112.32;114.18;112.82;116.96;135.98;138.36;131.29;129.4;129.31;128.83;140.36;135.68;130.07;117.43;124.94;119.19;127.03;126.18;127.94;123.68;130.28;129.36;132.66
kor;sugar_per_person_g_per_day;5.17;5.18;4.77;4.52;5.01;6.58;10.21;14.09;19.06;20.73;22.89;23.21;25.5;22.66;21.3;25.47;32.63;41.27;47.14;43.12;38.44;42.83;49.71;56.26;58.76;66.65;70.71;79.44;86.71;88.26;91.65;92.04;87.35;84.23;86.38;87.63;92.62;80.7;90.82;96.29;99.97;103.48;103.08;102.65;104.12;103.56;100.03;99.93;95.11;104.4;100.06;103.25;105.24
kwt;sugar_per_person_g_per_day;95.36;93.87;90.21;85.04;85.52;96.5;83.12;93.15;100.63;102.28;106.79;111.22;108.19;113.6;113.39;118.43;128.33;133.01;132.6;123.14;118.96;125.32;124.52;121.7;114.77;112.53;112.01;102.91;102.69;78.94;69.12;73.79;85.08;102.23;112.46;112.64;116.6;117.29;112.71;110.08;99.55;118.66;126.57;117.48;112.21;108.17;109.77;106.42;106.39;98.37;96.59;106.86;106.17
lao;sugar_per_person_g_per_day;2.04;2.91;2.68;2.54;2.82;2.51;3.06;5.11;5.11;5.27;4.58;2.81;2.51;1.67;3.13;3.01;4.38;4.33;3.35;1.25;3.14;1.86;2.5;2.67;2.43;1.99;2.44;3.31;5.77;5.96;7.87;5.96;7.72;9.92;10.89;10.11;9.93;11.13;12.77;12.15;12.77;11.87;12.17;10.92;14.37;14.53;16.55;17.06;16.87;16.3;17.73;19.09;19.7
lbn;sugar_per_person_g_per_day;61.68;75.09;73.04;82.77;84.66;93.64;92.59;97.15;101.63;101.45;107.48;112.37;103.09;101.08;94.08;109.28;113.95;121.95;120.14;100.23;101.12;82.13;91.67;101.73;101.37;92.55;95.58;107.24;108.19;106.28;114.41;129.7;122.96;131.73;128.19;129.86;133.55;139.01;140.68;133.26;104.92;102.1;104.16;105.57;102.73;102.7;137.29;130.86;133.9;144.63;138.07;130.62;123.01
lbr;sugar_per_person_g_per_day;4.77;6.48;7.67;6.61;9.78;9.68;9.64;8.75;8.94;11.18;13.1;13.36;14.64;11.64;8.04;13.67;16.35;17.63;18.11;15.57;15.07;13.99;19.79;18.49;15.7;19.17;19.75;23.15;19.34;12.54;11.9;12.0;15.33;14.59;15.24;11.31;13.43;16.26;12.5;13.04;13.39;14.22;13.59;14.46;15.07;16.19;16.26;16.78;19.03;19.9;19.93;14.47;15.48
lca;sugar_per_person_g_per_day;77.3;73.75;78.45;79.95;81.91;82.81;75.03;67.4;65.18;62.75;67.35;63.94;71.75;77.04;72.09;70.42;79.73;75.44;77.27;84.87;83.58;83.38;80.83;88.57;94.79;100.05;104.42;103.37;103.19;102.07;99.25;102.64;100.83;102.15;104.6;103.2;104.1;105.35;107.78;103.35;110.15;106.63;98.97;105.23;99.97;106.79;112.4;116.62;115.54;112.4;112.97;109.62;105.86
lka;sugar_per_person_g_per_day;48.62;49.2;50.14;51.77;56.63;66.4;65.8;66.13;68.17;67.87;64.58;51.93;44.26;21.02;12.63;15.0;23.86;39.67;51.81;47.67;43.55;40.89;49.36;52.76;64.15;64.01;60.02;55.38;62.33;51.64;67.65;66.61;52.01;70.38;51.58;66.2;77.85;85.71;74.33;85.19;83.76;85.87;78.48;75.97;72.42;83.01;72.18;88.19;69.83;79.4;75.43;74.55;73.37
lso;sugar_per_person_g_per_day;30.95;33.76;36.48;35.8;38.3;36.29;36.19;36.36;36.23;36.07;35.88;36.84;35.8;36.25;53.27;59.02;59.3;63.44;53.66;56.09;56.9;60.76;53.0;51.83;39.48;42.93;44.98;44.42;45.79;46.85;45.98;46.89;45.98;45.12;44.38;42.84;42.67;42.42;42.97;42.98;43.35;44.74;47.62;46.63;45.59;46.76;47.21;46.79;47.18;46.87;46.39;48.96;45.47
ltu;sugar_per_person_g_per_day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;77.66;80.91;69.69;75.79;70.09;93.8;105.03;97.62;101.41;120.38;110.3;107.36;105.8;115.37;126.27;130.47;137.0;130.84;117.95;124.97;127.49;130.01
lux;sugar_per_person_g_per_day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;126.66;123.52;121.53;121.15;121.86;138.77;141.01;142.3;141.31;144.14;137.18;127.61;139.05;140.87
lva;sugar_per_person_g_per_day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;110.3;121.84;120.97;79.49;114.62;100.84;96.96;87.06;92.78;116.53;110.16;96.36;100.66;105.53;88.19;80.17;96.42;90.8;98.26;102.83;109.34;116.74
mac;sugar_per_person_g_per_day;66.83;64.99;64.13;51.13;59.57;52.6;41.9;40.3;25.74;30.19;12.33;11.13;43.02;41.38;37.38;50.27;55.89;51.25;63.15;61.24;65.57;70.66;72.98;61.98;56.36;62.47;50.33;61.09;61.54;78.88;69.73;62.69;64.54;67.27;70.52;69.99;65.22;61.1;58.95;62.15;69.68;73.21;80.85;87.78;96.49;83.67;85.44;102.16;97.19;100.12;105.34;104.38;101.6
mar;sugar_per_person_g_per_day;77.36;82.39;76.75;75.22;70.52;72.24;71.31;70.45;71.13;73.96;74.48;75.84;76.68;78.87;81.56;87.51;90.18;95.99;97.34;95.78;91.82;89.55;92.81;87.31;84.78;85.58;85.22;90.32;84.26;85.32;84.51;91.84;96.92;96.91;94.93;91.43;98.15;99.52;91.24;102.97;99.45;101.74;99.72;102.16;102.74;99.27;107.71;112.3;112.84;104.1;108.19;106.4;108.84
mda;sugar_per_person_g_per_day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68.29;65.48;74.05;68.01;72.4;68.1;67.06;66.4;68.95;77.89;73.2;81.9;76.69;78.61;81.95;102.8;85.88;69.46;64.22;66.95;63.87;64.59
mdg;sugar_per_person_g_per_day;29.1;28.37;28.7;29.42;28.61;26.54;24.59;27.62;27.11;30.0;35.12;34.94;36.65;39.63;40.88;41.95;40.31;36.93;34.55;32.87;32.79;30.21;27.19;24.76;27.81;26.54;25.77;24.42;22.97;22.18;22.55;22.13;24.04;24.11;23.79;23.84;22.57;23.63;23.12;22.18;16.36;12.26;19.11;18.96;18.76;18.69;19.44;18.94;22.15;21.82;22.19;20.13;20.31
mdv;sugar_per_person_g_per_day;98.17;95.04;96.16;87.23;84.03;81.61;78.66;75.28;85.85;82.29;85.81;83.48;76.1;83.02;76.67;68.1;67.11;70.53;74.39;79.48;81.62;79.41;80.11;80.76;80.92;95.61;95.23;87.69;101.54;113.05;112.53;109.58;126.61;129.8;116.84;106.33;103.26;91.8;86.66;89.74;94.17;94.33;91.03;98.5;99.19;96.59;98.28;101.39;98.54;100.8;98.62;93.6;82.99
mex;sugar_per_person_g_per_day;68.8;72.53;72.95;76.39;77.84;79.85;84.68;90.0;94.49;99.53;93.98;98.79;106.44;105.36;119.42;115.06;111.93;119.96;123.21;124.46;124.11;119.74;109.87;126.23;124.17;126.25;121.26;121.7;130.97;141.4;132.01;133.36;135.08;131.64;129.58;131.14;122.7;126.94;128.23;132.12;136.64;137.36;138.14;136.24;127.11;132.58;132.74;133.95;136.31;136.11;134.31;138.99;132.77
mkd;sugar_per_person_g_per_day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59.9;65.42;94.4;97.76;101.68;101.33;105.92;104.91;102.15;96.11;99.62;100.37;102.59;93.65;95.88;99.0;110.12;100.41;111.48;106.65;113.67;110.23
mli;sugar_per_person_g_per_day;7.55;16.56;9.57;7.94;15.87;11.76;9.16;18.18;9.28;20.28;16.29;13.68;18.98;13.87;12.5;18.47;8.91;9.07;13.31;17.79;12.08;8.94;8.27;12.86;13.1;18.05;16.16;17.44;27.57;25.31;31.84;27.19;22.87;34.73;27.19;39.88;28.57;38.6;37.94;38.38;37.85;39.6;36.84;35.59;35.23;37.62;36.56;36.97;34.79;29.37;25.42;36.09;28.12
mlt;sugar_per_person_g_per_day;100.45;109.38;118.21;113.06;137.05;137.77;143.29;143.82;139.27;138.77;140.72;136.97;143.58;140.59;135.94;144.19;142.68;151.21;144.53;144.38;138.89;142.62;144.52;134.63;138.89;135.7;143.46;142.21;140.95;130.16;130.87;133.05;132.52;135.21;140.57;141.59;142.31;139.81;144.77;135.11;141.71;143.77;147.49;149.66;149.27;136.78;137.37;161.9;174.0;170.73;164.66;167.55;167.95
mmr;sugar_per_person_g_per_day;12.86;14.16;16.21;16.81;14.6;17.49;16.76;14.26;12.61;11.71;12.59;12.85;16.37;13.65;9.35;11.9;11.95;12.57;12.91;9.76;14.2;14.74;15.75;17.45;18.66;19.81;19.51;19.44;18.97;21.22;21.42;20.38;19.89;19.22;19.13;23.85;28.6;27.64;29.92;30.56;35.95;34.82;36.85;37.55;36.97;38.77;46.82;47.9;46.95;45.3;46.75;47.58;46.22
mne;sugar_per_person_g_per_day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;126.19;130.27;126.64;120.95;118.12;131.53;133.27;130.98
mng;sugar_per_person_g_per_day;8.21;13.28;28.6;52.66;53.82;52.27;50.8;48.14;45.59;33.79;36.21;41.29;45.86;38.96;39.27;39.19;53.41;53.87;54.32;63.47;57.61;62.01;55.59;56.55;52.73;63.35;58.63;60.87;60.94;64.95;48.48;28.97;34.88;32.65;27.24;28.04;31.31;30.18;25.86;33.21;36.04;32.2;32.34;33.31;37.01;36.68;34.17;39.17;36.36;35.69;39.83;40.89;40.26
moz;sugar_per_person_g_per_day;18.17;18.87;19.15;21.44;21.46;21.55;22.37;22.12;25.02;25.99;30.77;32.53;34.35;34.67;35.09;34.51;34.32;34.15;33.31;31.21;29.86;27.31;17.55;16.31;7.27;9.13;11.57;11.31;8.87;9.86;9.33;11.49;13.85;16.04;15.42;14.99;15.42;15.82;16.61;20.77;21.04;20.35;23.35;23.34;23.97;23.61;27.75;30.57;31.32;30.67;31.31;29.4;30.74
mrt;sugar_per_person_g_per_day;55.22;54.92;54.6;54.04;63.11;62.82;64.31;57.06;52.42;48.52;42.66;44.12;47.25;50.28;36.64;46.01;51.04;52.9;52.03;48.88;51.26;54.19;59.19;55.47;57.53;64.75;66.45;75.83;78.18;75.8;77.08;64.33;79.14;66.62;87.57;80.11;81.51;87.55;89.7;112.77;111.61;100.36;92.18;94.0;88.67;89.67;104.54;98.29;98.27;97.58;98.02;94.83;99.16
mus;sugar_per_person_g_per_day;116.56;118.54;115.6;117.09;115.07;110.14;110.27;109.56;112.4;112.88;116.46;114.45;119.67;110.54;120.34;114.59;119.39;124.85;115.73;125.25;131.46;122.97;120.78;132.36;133.08;149.77;133.37;145.47;147.51;122.2;117.47;115.91;105.33;105.25;113.71;109.68;106.68;104.85;103.01;103.66;110.75;101.27;105.64;103.31;103.3;105.59;102.53;96.4;96.72;88.0;80.9;91.31;96.05
mwi;sugar_per_person_g_per_day;7.24;7.66;7.45;10.04;9.78;10.5;12.03;13.05;14.15;16.39;19.58;17.6;17.96;16.63;16.26;18.22;17.42;17.78;18.89;21.78;22.8;21.67;22.31;23.68;24.06;25.99;28.52;33.15;32.12;36.36;41.05;40.55;36.48;41.42;44.8;42.21;42.75;37.34;33.99;31.13;33.27;33.66;34.06;34.25;34.14;34.42;34.48;36.89;32.38;33.83;21.93;32.04;22.62
mys;sugar_per_person_g_per_day;87.36;72.67;63.64;76.76;76.77;81.92;78.36;97.21;95.6;101.98;76.62;87.98;86.51;87.99;84.46;81.39;101.64;95.32;99.08;106.26;87.98;89.74;104.74;96.34;102.84;103.98;91.87;108.96;98.74;102.3;105.24;105.25;111.73;120.11;136.53;149.13;132.6;129.05;129.37;114.37;118.99;106.34;109.3;98.68;84.85;97.53;107.46;109.66;116.19;116.52;116.76;120.53;120.88
nam;sugar_per_person_g_per_day;77.22;79.98;82.59;85.08;87.2;89.34;91.12;92.81;94.29;87.81;88.89;89.7;90.45;87.79;88.75;89.85;90.91;92.01;93.16;94.07;95.04;95.79;96.33;96.41;95.9;94.7;93.14;91.35;91.9;92.6;93.44;94.41;94.55;96.42;93.62;82.09;73.29;67.45;62.63;62.35;61.49;60.75;59.63;59.04;59.74;57.53;51.64;42.89;45.15;46.01;48.11;54.24;55.41
ncl;sugar_per_person_g_per_day;86.8;78.74;90.4;84.94;86.7;89.63;99.77;95.43;109.96;108.1;116.98;91.53;96.61;97.81;89.51;91.92;92.67;92.78;101.96;99.66;92.49;100.11;94.96;75.27;91.04;91.04;94.58;92.99;82.18;104.14;101.75;80.0;63.37;72.43;78.36;67.93;62.08;64.48;60.48;65.54;67.2;65.38;67.47;69.15;70.14;71.93;71.64;68.95;69.69;71.26;70.98;70.49;70.87
ner;sugar_per_person_g_per_day;6.27;8.33;7.73;7.83;8.03;6.24;6.12;6.3;6.99;7.48;7.62;7.92;8.16;8.12;8.45;8.94;9.79;10.42;11.53;10.97;10.67;15.21;18.22;19.98;18.71;18.98;18.9;17.42;17.07;15.3;12.05;10.0;9.61;7.75;16.46;16.47;18.51;18.87;17.3;18.48;15.81;14.44;17.29;19.57;18.8;17.46;15.79;15.25;18.35;13.31;13.33;13.07;14.54
nga;sugar_per_person_g_per_day;4.54;5.52;4.24;3.83;5.4;5.4;6.89;4.26;6.29;6.94;9.63;8.41;9.0;6.15;7.97;12.12;19.1;24.39;25.06;30.55;32.57;28.26;28.58;17.95;16.03;17.19;22.39;13.62;12.56;12.49;16.59;16.98;18.11;14.01;22.1;16.98;19.72;22.01;22.18;22.02;29.23;29.19;28.46;28.76;27.47;25.58;26.12;26.83;27.86;28.43;25.94;28.54;29.45
nic;sugar_per_person_g_per_day;95.36;104.45;107.01;102.84;94.21;86.87;84.87;95.67;84.83;84.46;89.65;93.61;98.74;98.57;100.79;110.38;114.35;108.25;105.08;110.08;107.9;120.01;119.12;119.04;120.13;118.48;112.16;98.07;105.39;70.1;63.98;79.15;78.88;91.43;93.09;98.69;95.53;100.14;98.02;102.82;102.81;102.4;100.9;100.12;100.11;101.39;100.33;107.82;108.1;113.69;117.89;113.89;115.82
nld;sugar_per_person_g_per_day;129.54;134.07;137.55;131.25;138.98;139.07;134.52;134.1;134.55;136.29;136.87;137.38;135.49;134.53;128.49;127.7;130.7;119.3;118.86;124.74;111.91;118.63;119.33;101.16;113.6;115.03;116.36;136.89;144.88;154.88;165.55;155.99;149.95;138.19;133.02;127.96;128.5;127.55;126.93;125.85;125.73;126.27;131.23;130.3;127.86;127.09;128.36;125.98;129.2;128.9;124.6;124.26;122.04
