geo;indicator;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
bgd;sugar_per_person_g_per_day;26.71;28.95;29.04;31.14;34.32;42.06;43.75;40.68;42.5;37.77;35.6;28.31;28.38;29.21;27.67;27.79;25.83;23.96;24.88;24.26;24.28;24.11;23.74;23.33;21.29;24.2;23.67;23.95;23.3;22.37;20.16;20.07;20.83;20.0;19.39;18.92;22.58;20.74;18.61;18.14;22.27;18.51;17.1;21.91;28.7;24.64;23.68;22.68;22.84;21.92;22.55;22.28;22.09
bgr;sugar_per_person_g_per_day;55.74;56.73;60.29;68.69;67.38;76.84;76.2;88.81;97.66;99.12;99.31;94.95;98.87;99.81;98.3;104.47;103.41;105.63;103.1;105.19;106.43;106.91;107.35;108.37;106.45;109.24;107.26;107.25;102.74;78.67;73.04;89.98;87.28;82.31;83.12;77.45;79.4;77.07;81.22;79.24;85.74;84.7;84.0;86.1;94.53;97.61;93.07;92.69;87.47;72.19;77.67;76.52;78.67
bhs;sugar_per_person_g_per_day;95.62;95.72;90.86;96.36;100.01;100.5;101.16;111.36;131.53;126.76;118.09;117.71;106.62;96.41;103.35;102.43;113.85;125.3;119.8;141.1;130.27;138.76;126.01;135.35;147.59;119.37;115.44;132.67;139.65;135.11;123.71;119.46;111.6;109.38;127.61;135.92;122.19;123.18;122.88;120.77;121.03;106.12;130.16;131.87;136.95;127.44;124.4;125.34;119.69;119.25;120.04;96.58;106.78
bih;sugar_per_person_g_per_day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27.69;25.59;28.99;28.94;33.09;42.17;39.53;38.98;37.0;45.7;45.95;41.04;44.3;46.36;52.41;57.05;59.28;52.43;53.77;55.38;57.67;55.26
blr;sugar_per_person_g_per_day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;101.05;96.99;80.38;105.34;106.81;115.21;123.1;102.17;107.34;110.59;110.53;91.61;96.33;105.29;96.35;103.73;113.04;118.0;102.32;109.8;104.5;107.23
blz;sugar_per_person_g_per_day;72.18;73.86;78.82;84.52;86.84;91.03;95.31;100.49;102.53;103.57;102.26;102.71;102.91;103.41;102.94;103.94;102.53;105.04;107.12;107.06;106.87;104.11;103.77;104.97;103.74;103.25;103.8;105.25;107.87;110.02;110.52;114.03;117.22;125.01;125.88;121.25;121.4;121.23;122.57;122.16;118.43;120.85;126.18;120.5;118.21;116.87;119.97;115.49;118.65;123.06;121.25;120.99;116.1
bmu;sugar_per_person_g_per_day;121.62;124.21;103.45;127.52;120.45;117.37;122.5;126.61;119.4;120.15;127.93;162.0;123.2;129.3;94.12;105.28;95.84;99.87;95.84;102.1;118.11;107.56;106.41;106.68;113.51;106.52;105.78;93.85;98.69;103.46;100.12;95.79;97.03;138.9;150.39;152.32;134.32;144.85;145.0;136.0;130.13;129.35;127.02;130.45;124.88;129.4;123.38;127.17;129.14;127.92;130.25;123.7;120.21
bol;sugar_per_person_g_per_day;53.34;55.32;55.12;56.47;61.48;64.08;67.14;68.75;71.72;76.08;80.64;78.87;70.12;68.33;69.43;78.17;87.65;91.56;101.54;85.8;81.83;88.44;80.09;79.18;71.21;74.26;74.42;76.0;75.79;81.06;73.23;76.33;77.49;76.74;76.35;75.57;74.95;73.81;73.78;76.01;77.0;75.87;74.88;74.59;74.34;71.29;70.4;71.2;69.8;70.6;73.06;72.78;75.19
bra;sugar_per_person_g_per_day;114.66;115.35;110.41;104.98;112.62;100.78;103.55;113.89;113.07;113.04;111.7;117.85;118.76;126.13;131.59;131.17;127.34;129.74;143.35;145.92;133.78;135.57;128.59;131.89;126.63;134.97;132.65;129.64;132.43;132.28;130.25;137.1;138.24;142.18;144.45;140.63;138.42;136.41;107.26;109.48;108.76;108.1;113.94;114.92;115.22;115.05;114.26;115.97;115.4;116.65;116.45;116.94;117.2
brb;sugar_per_person_g_per_day;143.24;144.04;145.08;145.02;144.4;145.29;144.11;143.24;138.59;143.01;161.4;143.46;156.97;163.08;165.27;167.93;168.75;171.7;177.68;178.74;191.27;177.41;187.2;165.82;163.3;163.77;155.26;165.24;149.75;142.43;124.02;136.54;125.84;138.11;136.84;156.82;159.77;146.1;149.82;148.72;150.73;149.23;149.84;147.85;150.88;150.54;152.81;160.24;159.77;160.64;158.63;159.9;160.09
brn;sugar_per_person_g_per_day;95.23;99.87;94.24;114.3;105.29;111.07;114.0;117.54;110.75;111.73;121.21;125.64;112.0;117.17;111.54;109.05;109.89;127.93;109.4;122.51;97.26;112.71;144.85;132.95;132.04;101.53;114.37;108.5;107.0;96.87;108.6;118.23;114.69;116.2;113.93;103.47;100.1;79.76;87.47;89.62;108.68;82.16;106.77;123.97;125.4;129.48;133.48;124.89;135.32;135.85;137.89;135.31;135.03
