arm;subsistence_incomes_per_person;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.102;;;;;;;;;;;;;;;;;;;;1.125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.509;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.916;;;;;;;;;;;;;;;;;;;;;;;6.247999999999999;;;;;;;;;;;;;;;;;6.16;5.343;3.1639999999999997;3.017;3.287;3.58;3.7969999999999997;3.928;4.229;4.371;4.636;5.106;5.904;6.752000000000001;7.487;8.559;9.677999999999999;10.99;11.71;9.92
asm;subsistence_incomes_per_person;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.479;;;;;;;;;;;;;;;;;;;;1.479;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.792;;;;;;;;;;;;;;;;;;;;;;;13.78;;;;;;;;;;;;;;;;;14.25;;;;;;;;;;;17.05;;;;21.09;22.06;;;
atg;subsistence_incomes_per_person;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.181;;;;;;;;;;;;;;;;;;;;1.181;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.178;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.66;9.076;9.504;10.08;10.25;9.61;8.754;9.472999999999999;9.945;11.2;12.13;12.9;13.1;14.15;15.4;16.87;18.67;20.78;22.86;24.59;25.38;25.77;25.61;26.4;27.36;25.55;26.55;27.17;27.66;28.13;27.94;28.01;28.23;29.27;30.95;31.97;35.7;37.6;37.85;34.94
aus;subsistence_incomes_per_person;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.473;;;;;;;;;;;;;;;;;;;;1.537;1.551;1.597;1.651;1.743;1.827;1.8619999999999999;1.9180000000000001;1.9669999999999999;2.076;2.5180000000000002;2.603;2.661;2.67;2.8089999999999997;3.3989999999999996;3.34;3.5010000000000003;3.458;3.2260000000000004;4.078;3.478;3.1719999999999997;3.679;4.181;4.302;4.755;5.501;6.295;6.22;5.8629999999999995;6.957999999999999;8.16;8.934;7.8229999999999995;7.425;9.06;7.995;6.818;8.802;8.591000000000001;8.461;8.131;8.104;8.594;8.197000000000001;8.439;9.227;9.369;9.182;9.715;9.79;10.55;11.35;11.38;12.28;11.89;11.98;12.7;12.48;12.72;13.22;12.06;13.28;12.77;13.13;12.85;13.75;13.37;14.09;13.23;13.85;11.86;11.01;11.18;10.35;10.94;10.15;11.55;11.4;11.91;11.39;11.35;12.1;12.75;12.71;13.38;13.7;13.93;14.78;15.46;15.15;15.13;15.31;14.92;14.53;14.48;14.22;13.66;14.0;14.14;14.58;15.03;15.41;16.08;16.48;16.54;16.45;16.18;15.62;13.97;12.92;13.55;14.37;15.02;15.78;16.37;17.05;17.47;17.35;18.3;20.15;22.28;22.86;21.85;20.53;19.57;19.78;20.68;21.48;22.0;22.28;22.02;22.28;23.12;23.83;24.07;24.01;24.65;25.61;26.09;25.68;26.79;27.9;29.23;30.13;30.4;31.86;33.09;34.31;35.69;36.48;36.82;38.22;38.54;39.09;40.24;40.21;40.87;42.5;42.78;43.51;42.71;42.14;44.51;46.14;46.42;48.0;49.36;50.73;50.77;50.21;51.37;52.75;54.34;55.96;57.35;59.21;61.77;63.56;64.13;65.88;67.3;69.37;70.39;71.93;72.63;74.75;75.09;75.28
aut;subsistence_incomes_per_person;;;;;;;;;;2.908;2.73;2.657;2.6830000000000003;2.781;2.805;2.833;2.929;2.9610000000000003;2.997;3.032;3.034;3.052;3.071;3.089;3.108;3.127;3.1289999999999996;3.1310000000000002;3.133;3.134;3.136;3.138;3.14;3.142;3.1439999999999997;3.1460000000000004;3.158;3.17;3.1830000000000003;3.195;3.207;3.22;3.2319999999999998;3.245;3.2569999999999997;3.27;3.283;3.295;3.3080000000000003;3.321;3.3339999999999996;3.347;3.36;3.373;3.386;3.3989999999999996;3.4539999999999997;3.51;3.5660000000000003;3.623;3.682;3.741;3.801;3.863;3.925;3.988;4.029;4.07;4.111000000000001;4.1530000000000005;4.195;4.238;4.281000000000001;4.325;4.369;4.414;4.461;4.51;4.558;4.6080000000000005;4.658;4.708;4.7589999999999995;4.81;4.862;4.915;4.962;5.01;5.059;5.107;5.157;5.206;5.257000000000001;5.307;5.358;5.41;5.447;5.485;5.522;5.56;5.598;5.6370000000000005;5.675;5.7139999999999995;5.754;5.792999999999999;6.169;6.1739999999999995;5.989;6.215;6.204;6.3020000000000005;6.475;6.647;6.559;6.608;6.832999999999999;6.832000000000001;7.067;7.209;7.117999999999999;7.303;7.76;7.695;7.575;7.937;8.158;8.271;8.256;8.665;8.826;8.889;9.004;9.437000000000001;9.56;9.566;9.527000000000001;9.82;9.826;9.898;10.37;10.68;11.25;11.21;11.09;11.16;11.42;11.89;11.76;9.755;9.0;8.914;8.774;8.667;7.662999999999999;8.184;8.99;9.762;9.642000000000001;10.73;11.42;11.58;11.89;12.41;12.55;12.16;11.15;9.972999999999999;9.611;9.674;9.861;10.16;10.71;12.08;13.9;13.43;14.31;13.51;13.79;12.91;5.851;6.6370000000000005;7.35;9.378;11.17;12.57;13.43;13.46;14.03;15.45;17.14;18.31;19.39;20.04;20.53;22.11;23.16;23.58;24.38;25.67;26.24;27.52;28.15;29.24;30.98;33.07;34.6;36.54;38.11;39.55;39.51;41.39;43.31;43.19;45.62;46.68;46.54;47.36;48.83;48.98;50.05;51.16;51.95;53.45;55.5;57.31;58.65;59.3;58.95;60.23;61.23;62.72;63.81;66.03;68.07;70.19;70.61;71.09;71.8;73.37;74.8;77.11;79.71;81.21;78.15
aze;subsistence_incomes_per_person;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.403;;;;;;;;;;;;;;;;;;;;1.433;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.194;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.2589999999999995;;;;;;;;;;;;;;;;;;;;;;;9.705;;;;;;;;;;;;;;;;;10.15;9.932;7.577999999999999;5.7620000000000005;4.581;4.01;4.042;4.262;4.676;5.012;5.555;6.087000000000001;6.709;7.428999999999999;8.246;10.19;13.56;16.77;18.38;19.93
bdi;subsistence_incomes_per_person;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.9816;;;;;;;;;;;;;;;;;;;;0.9816;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.7759;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.7066;0.7341;0.7441;0.7608;0.7886;0.7997;0.8158;0.8324;0.8407;0.8735;0.8705;0.7309;0.779;0.7985;0.8248;0.8335;0.8497;0.9057;0.8772;0.8511;1.06;1.12;1.018;1.088;1.063;1.0490000000000002;1.11;1.22;1.177;1.145;1.1840000000000002;1.26;1.227;1.235;1.205;1.318;1.3419999999999999;1.364;1.3780000000000001;1.367;1.383;1.4180000000000001;1.385;1.344;1.2830000000000001;1.112;1.015;1.016;1.0390000000000001;0.9987;0.9732;0.966;0.9790000000000001;0.9367;0.9468;0.9212;0.9495;0.9641;0.988;1.002
bel;subsistence_incomes_per_person;;;;;;;;;;;3.017;2.9819999999999998;2.971;2.9330000000000003;2.924;2.949;3.035;3.063;3.1719999999999997;3.278;3.284;3.342;3.355;3.3680000000000003;3.3810000000000002;3.395;3.3960000000000004;3.397;3.3989999999999996;3.4;3.4010000000000002;3.403;3.404;3.405;3.407;3.408;3.409;3.411;3.412;3.4130000000000003;3.415;3.4160000000000004;3.417;3.4189999999999996;3.42;3.4210000000000003;3.423;3.424;3.425;3.427;3.428;3.429;3.431;3.432;3.4330000000000003;3.435;3.444;3.4530000000000003;3.4619999999999997;3.471;3.48;3.489;3.4989999999999997;3.508;3.517;3.5269999999999997;3.576;3.627;3.678;3.73;3.782;3.835;3.889;3.944;4.0;4.056;4.113;4.171;4.23;4.29;4.35;4.4110000000000005;4.5889999999999995;4.5680000000000005;4.665;4.813;4.915;5.015;5.114;5.398;5.401;5.66;5.77;5.77;5.733;5.983;6.029;6.144;6.275;6.439;6.392;6.535;6.522;6.71;6.955;7.031000000000001;7.007000000000001;7.379;7.37;7.553;7.477;7.513;7.539;7.692;7.699;8.015;8.027999999999999;8.204;8.226;8.204;8.208;8.249;8.504;8.496;8.842;8.972999999999999;8.886000000000001;9.01;9.046;9.08;9.193999999999999;9.3;9.392000000000001;9.467;9.576;9.774;9.743;9.796;9.884;10.01;10.17;10.27;10.31;10.31;10.41;10.65;10.88;11.03;11.06;8.106;6.64;7.432;6.188;5.782;7.126;10.76;11.33;12.09;12.86;13.43;13.45;13.62;13.56;14.47;14.83;15.06;14.51;13.8;13.63;13.3;13.89;14.32;14.99;14.69;14.09;11.56;9.872;10.13;8.203;8.321;8.879;13.97;15.74;16.52;16.99;17.52;18.41;18.3;18.96;19.63;20.27;20.9;21.3;20.78;21.22;22.1;23.05;24.1;24.99;26.51;27.21;27.9;28.84;29.93;31.84;33.73;34.87;36.56;38.68;40.19;39.54;41.71;41.93;43.08;44.06;45.99;45.39;46.01;46.01;47.15;47.61;48.3;49.4;51.66;53.22;54.66;55.47;56.09;55.33;56.9;58.07;58.61;60.44;61.47;63.46;65.66;65.99;66.86;67.4;69.3;70.34;71.79;73.35;73.44;70.74
ben;subsistence_incomes_per_person;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.214;;;;;;;;;;;;;;;;;;;;1.214;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.876;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.4219999999999997;2.376;2.331;2.221;2.24;2.194;2.149;2.104;2.136;2.169;2.186;2.207;2.082;2.128;2.22;2.279;2.306;2.272;2.3;2.309;2.296;2.248;2.381;2.373;2.135;2.167;2.198;2.2569999999999997;2.263;2.375;2.531;2.602;2.802;2.603;2.728;2.845;2.818;2.688;2.682;2.54;2.556;2.591;2.612;2.583;2.563;2.58;2.636;2.7039999999999997;2.745;2.7910000000000004;2.867;2.924;3.011;3.04;3.0460000000000003;3.048;3.077;3.1319999999999997;3.2;3.196
bfa;subsistence_incomes_per_person;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.9963;;;;;;;;;;;;;;;;;;;;0.9963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.091;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.131;1.162;1.1909999999999998;1.222;1.253;1.286;1.32;1.3530000000000002;1.39;1.425;1.4509999999999998;1.5019999999999998;1.584;1.554;1.578;1.625;1.618;1.743;1.778;1.7930000000000001;1.776;1.824;1.874;1.751;1.694;1.5959999999999999;1.556;1.63;1.78;1.756;1.743;1.776;1.77;1.706;1.69;1.861;2.095;2.0;2.101;2.012;1.93;2.057;2.043;1.965;1.9280000000000002;1.952;2.0380000000000003;2.075;2.146;2.214;2.1959999999999997;2.259;2.276;2.37;2.405;2.5;2.5780000000000003;2.609;2.6830000000000003;2.707
