geo;indicator;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
afg;mean_years_in_school_women_35_to_44_years;0.15;0.16;0.16;0.17;0.18;0.18;0.19;0.2;0.2;0.21;0.22;0.22;0.23;0.24;0.25;0.26;0.27;0.28;0.29;0.3;0.31;0.32;0.33;0.34;0.35;0.37;0.38;0.4;0.41;0.43;0.44;0.46;0.47;0.49;0.51;0.52;0.54;0.56;0.58;0.6;0.62;0.64;0.67;0.69;0.71;0.74
ago;mean_years_in_school_women_35_to_44_years;1.12;1.16;1.2;1.24;1.28;1.32;1.36;1.41;1.45;1.5;1.55;1.6;1.65;1.71;1.76;1.82;1.88;1.94;2.0;2.07;2.13;2.2;2.27;2.34;2.42;2.5;2.58;2.66;2.75;2.84;2.92;3.02;3.11;3.2;3.3;3.4;3.5;3.6;3.71;3.81;3.92;4.03;4.14;4.26;4.37;4.49
alb;mean_years_in_school_women_35_to_44_years;5.04;5.16;5.29;5.43;5.56;5.7;5.83;5.97;6.12;6.26;6.4;6.55;6.7;6.85;7.0;7.15;7.3;7.46;7.61;7.77;7.93;8.09;8.25;8.41;8.57;8.73;8.89;9.05;9.21;9.37;9.54;9.7;9.86;10.03;10.19;10.35;10.52;10.68;10.84;11.01;11.17;11.33;11.5;11.66;11.82;11.98
and;mean_years_in_school_women_35_to_44_years;6.68;6.83;6.98;7.14;7.29;7.45;7.61;7.77;7.93;8.09;8.26;8.42;8.59;8.75;8.92;9.09;9.26;9.43;9.59;9.76;9.93;10.1;10.27;10.44;10.61;10.78;10.94;11.11;11.28;11.44;11.61;11.77;11.94;12.1;12.26;12.42;12.58;12.73;12.89;13.04;13.2;13.35;13.5;13.64;13.79;13.93
are;mean_years_in_school_women_35_to_44_years;2.29;2.37;2.46;2.55;2.65;2.75;2.85;2.96;3.07;3.19;3.32;3.44;3.58;3.72;3.87;4.03;4.19;4.37;4.55;4.74;4.95;5.17;5.39;5.64;5.9;6.17;6.4;6.62;6.83;7.05;7.26;7.47;7.68;7.88;8.09;8.28;8.48;8.68;8.87;9.06;9.25;9.44;9.62;9.81;9.99;10.17
arg;mean_years_in_school_women_35_to_44_years;5.51;5.64;5.78;5.91;6.05;6.19;6.33;6.47;6.61;6.75;6.9;7.04;7.19;7.33;7.48;7.63;7.77;7.92;8.07;8.22;8.37;8.51;8.66;8.81;8.95;9.1;9.25;9.4;9.55;9.71;9.86;10.02;10.18;10.34;10.5;10.66;10.81;10.97;11.13;11.29;11.45;11.61;11.77;11.93;12.09;12.24
arm;mean_years_in_school_women_35_to_44_years;6.17;6.32;6.46;6.61;6.76;6.91;7.06;7.22;7.37;7.52;7.68;7.83;7.98;8.14;8.29;8.44;8.59;8.75;8.9;9.04;9.19;9.34;9.48;9.62;9.77;9.91;10.05;10.19;10.33;10.47;10.62;10.76;10.91;11.06;11.21;11.36;11.51;11.66;11.81;11.97;12.12;12.28;12.43;12.58;12.74;12.89
atg;mean_years_in_school_women_35_to_44_years;6.86;7.01;7.17;7.32;7.48;7.64;7.8;7.96;8.12;8.28;8.45;8.61;8.78;8.94;9.11;9.28;9.45;9.62;9.78;9.95;10.12;10.29;10.46;10.63;10.8;10.97;11.13;11.3;11.47;11.63;11.79;11.96;12.12;12.28;12.44;12.6;12.75;12.91;13.06;13.21;13.36;13.51;13.66;13.8;13.95;14.09
aus;mean_years_in_school_women_35_to_44_years;7.64;7.8;7.95;8.11;8.27;8.43;8.58;8.74;8.9;9.05;9.21;9.36;9.52;9.67;9.82;9.97;10.11;10.26;10.4;10.54;10.68;10.82;10.96;11.09;11.23;11.36;11.5;11.64;11.78;11.92;12.06;12.2;12.35;12.49;12.64;12.78;12.93;13.08;13.23;13.37;13.52;13.67;13.81;13.96;14.1;14.24
aut;mean_years_in_school_women_35_to_44_years;6.57;6.71;6.85;6.99;7.14;7.28;7.42;7.56;7.7;7.84;7.99;8.13;8.27;8.41;8.54;8.68;8.82;8.95;9.09;9.22;9.35;9.48;9.6;9.72;9.84;9.96;10.09;10.23;10.37;10.51;10.66;10.8;10.95;11.09;11.24;11.39;11.54;11.69;11.84;11.99;12.15;12.3;12.45;12.6;12.75;12.9
aze;mean_years_in_school_women_35_to_44_years;6.24;6.39;6.54;6.69;6.84;6.99;7.15;7.3;7.46;7.62;7.77;7.93;8.09;8.25;8.41;8.57;8.73;8.88;9.04;9.2;9.35;9.51;9.66;9.81;9.96;10.11;10.26;10.4;10.55;10.7;10.84;10.99;11.14;11.28;11.43;11.58;11.72;11.87;12.02;12.17;12.32;12.47;12.61;12.76;12.91;13.06
bdi;mean_years_in_school_women_35_to_44_years;0.65;0.67;0.7;0.72;0.75;0.77;0.8;0.83;0.85;0.88;0.91;0.95;0.98;1.01;1.05;1.08;1.12;1.16;1.2;1.24;1.28;1.33;1.37;1.42;1.47;1.52;1.58;1.63;1.69;1.74;1.8;1.86;1.93;1.99;2.05;2.12;2.19;2.26;2.33;2.4;2.48;2.55;2.63;2.71;2.79;2.88
bel;mean_years_in_school_women_35_to_44_years;6.94;7.09;7.24;7.39;7.53;7.68;7.84;7.99;8.14;8.29;8.44;8.59;8.75;8.9;9.05;9.2;9.36;9.51;9.66;9.81;9.96;10.1;10.25;10.39;10.54;10.67;10.83;10.99;11.15;11.31;11.47;11.63;11.79;11.95;12.11;12.26;12.42;12.57;12.73;12.88;13.03;13.18;13.33;13.48;13.63;13.77
ben;mean_years_in_school_women_35_to_44_years;0.44;0.46;0.48;0.49;0.51;0.53;0.55;0.56;0.58;0.61;0.63;0.65;0.67;0.7;0.72;0.75;0.77;0.8;0.83;0.86;0.89;0.92;0.96;0.99;1.03;1.06;1.1;1.14;1.18;1.22;1.27;1.31;1.36;1.4;1.45;1.5;1.55;1.6;1.65;1.7;1.76;1.82;1.87;1.93;1.99;2.06
bfa;mean_years_in_school_women_35_to_44_years;0.2;0.21;0.22;0.23;0.23;0.24;0.25;0.26;0.27;0.28;0.29;0.3;0.31;0.33;0.34;0.35;0.37;0.38;0.4;0.41;0.43;0.45;0.46;0.48;0.5;0.52;0.55;0.57;0.59;0.62;0.64;0.67;0.7;0.72;0.75;0.78;0.81;0.84;0.87;0.9;0.93;0.97;1.0;1.04;1.07;1.11
bgd;mean_years_in_school_women_35_to_44_years;0.77;0.79;0.82;0.85;0.88;0.91;0.95;0.98;1.02;1.05;1.09;1.13;1.17;1.21;1.26;1.3;1.35;1.4;1.45;1.5;1.56;1.62;1.68;1.74;1.8;1.87;1.94;2.0;2.07;2.14;2.21;2.29;2.36;2.44;2.52;2.6;2.68;2.77;2.85;2.94;3.03;3.12;3.21;3.3;3.4;3.49
bgr;mean_years_in_school_women_35_to_44_years;7.09;7.25;7.41;7.57;7.73;7.88;8.04;8.2;8.36;8.52;8.68;8.84;9.0;9.15;9.31;9.46;9.61;9.76;9.91;10.05;10.19;10.33;10.46;10.59;10.72;10.84;10.96;11.09;11.22;11.35;11.48;11.62;11.75;11.89;12.03;12.17;12.3;12.44;12.58;12.72;12.86;13.0;13.14;13.28;13.42;13.56
bhr;mean_years_in_school_women_35_to_44_years;1.98;2.06;2.15;2.24;2.33;2.43;2.54;2.65;2.76;2.88;3.01;3.14;3.28;3.42;3.58;3.74;3.91;4.09;4.27;4.47;4.68;4.9;5.13;5.38;5.63;5.9;6.09;6.28;6.47;6.65;6.83;7.01;7.19;7.37;7.54;7.72;7.89;8.06;8.23;8.39;8.56;8.73;8.89;9.06;9.22;9.38
bhs;mean_years_in_school_women_35_to_44_years;5.8;5.94;6.08;6.22;6.37;6.52;6.67;6.82;6.97;7.13;7.28;7.44;7.6;7.76;7.92;8.08;8.25;8.41;8.58;8.74;8.91;9.08;9.25;9.42;9.58;9.75;9.92;10.09;10.26;10.43;10.6;10.76;10.93;11.1;11.26;11.43;11.59;11.76;11.92;12.08;12.24;12.4;12.56;12.71;12.87;13.02
bih;mean_years_in_school_women_35_to_44_years;4.01;4.12;4.23;4.35;4.46;4.58;4.7;4.82;4.94;5.07;5.19;5.32;5.46;5.59;5.73;5.86;6.0;6.15;6.29;6.44;6.59;6.74;6.89;7.04;7.2;7.35;7.52;7.68;7.84;8.01;8.18;8.35;8.52;8.69;8.86;9.03;9.21;9.38;9.55;9.73;9.9;10.08;10.25;10.42;10.59;10.77
