geo;indicator;2004;2005;2006;2007
glp;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
gmb;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
gnb;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
gnq;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
grc;dollar_billionaires_per_million_people;0.09392;0.09374;0.09356;0.0934
grd;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
grl;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
gtm;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
guf;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
gum;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
guy;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
hkg;dollar_billionaires_per_million_people;2.042;2.174;2.449;3.008
hnd;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
hos;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
hrv;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
hti;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
hun;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
idn;dollar_billionaires_per_million_people;0.00463;0.00915;0.00905;0.00895
ind;dollar_billionaires_per_million_people;0.00845;0.01111;0.021;0.03242
irl;dollar_billionaires_per_million_people;0.5038;0.7471;0.9847;0.9735
irn;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
irq;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
isl;dollar_billionaires_per_million_people;0.0;3.37;3.34;6.624
isr;dollar_billionaires_per_million_people;0.8066;0.9559;1.2590000000000001;1.4
ita;dollar_billionaires_per_million_people;0.2411;0.1721;0.2408;0.2236
jam;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
jey;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
jor;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
jpn;dollar_billionaires_per_million_people;0.1728;0.1884;0.2118;0.1883
kaz;dollar_billionaires_per_million_people;0.0;0.1976;0.1313;0.3271
ken;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
kgz;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
khm;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
kir;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
kna;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
kor;dollar_billionaires_per_million_people;0.0413;0.06168;0.08189;0.2039
kos;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
kwt;dollar_billionaires_per_million_people;0.8859;0.8563;1.24;1.5959999999999999
lao;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
lbn;dollar_billionaires_per_million_people;0.2647;0.0;0.7744;1.02
lbr;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
lby;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
lca;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
lie;dollar_billionaires_per_million_people;29.91;29.66;0.0;0.0
lka;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
lso;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
ltu;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
lux;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
lva;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
mac;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
mar;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
mco;dollar_billionaires_per_million_people;0.0;30.86;30.73;30.61
mda;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
mdg;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
mdv;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
mex;dollar_billionaires_per_million_people;0.1048;0.09416000000000001;0.09307;0.092
mhl;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
mkd;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
mli;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
mlt;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
mmr;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
mne;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
