geo;indicator;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
can;oil_consumption_total;53835000.0;56711000.0;60566000.0;64477000.0;67135000.0;71614000.0;73523000.0;77395000.0;81651000.0;83008000.0;81128000.0;85436000.0;86309000.0;87957000.0;91501000.0;90104000.0;84228000.0;75363000.0;70490000.0;71215000.0;71198000.0;71388000.0;74148000.0;77968000.0;80989000.0;79812000.0;75284000.0;76783000.0;77114000.0;78448000.0;81139000.0;83464000.0;86697000.0;88550000.0;90043000.0;90087000.0;91347000.0;93832000.0;97430000.0;100840000.0;99609000.0;98730000.0;101700000.0;100560000.0;94438000.0;101040000.0;104240000.0;102300000.0;103520000.0;103110000.0;99150000.0;100920000.0
che;oil_consumption_total;8037000.0;8551000.0;9263000.0;10280000.0;11167000.0;12523000.0;13281000.0;13612000.0;14650000.0;13031000.0;12511000.0;12993000.0;13056000.0;13421000.0;12875000.0;12846000.0;11865000.0;11209000.0;12262000.0;11824000.0;12021000.0;13178000.0;12396000.0;12430000.0;11923000.0;12757000.0;12973000.0;13141000.0;12312000.0;12732000.0;11797000.0;12215000.0;12836000.0;13003000.0;12602000.0;12209000.0;13079000.0;12396000.0;12062000.0;12016000.0;12239000.0;12551000.0;11310000.0;12062000.0;12255000.0;11381000.0;11038000.0;11246000.0;11779000.0;10575000.0;10734000.0;10178000.0
chl;oil_consumption_total;3494900.0;3822700.0;3981500.0;4190300.0;4453100.0;4697600.0;5206000.0;5520000.0;5251000.0;5025000.0;4378000.0;4649000.0;4756000.0;5214000.0;5256000.0;5314000.0;5492000.0;4845000.0;4708000.0;4713000.0;4589000.0;4911000.0;5127000.0;5648000.0;6245000.0;6594000.0;7356600.0;7968000.0;8684000.0;9328500.0;10257000.0;10894000.0;11699000.0;11967000.0;12086000.0;11816000.0;11224000.0;11740000.0;11321000.0;12016000.0;12461000.0;13930000.0;17902000.0;18606000.0;18188000.0;16015000.0;17557000.0;17470000.0;16835000.0;17379000.0;17638000.0;17753000.0
chn;oil_consumption_total;10960000.0;14074000.0;13900000.0;15200000.0;20377000.0;28191000.0;38430000.0;44175000.0;53830000.0;61890000.0;68250000.0;78030000.0;82400000.0;91250000.0;91100000.0;86655000.0;82230000.0;81324000.0;82961000.0;85957000.0;89745000.0;95371000.0;101290000.0;108830000.0;113890000.0;112860000.0;121850000.0;132380000.0;145790000.0;148120000.0;160200000.0;175670000.0;192150000.0;197080000.0;209330000.0;224220000.0;229090000.0;248100000.0;276940000.0;323410000.0;328930000.0;353150000.0;370660000.0;378060000.0;392810000.0;448490000.0;465110000.0;487070000.0;508140000.0;527960000.0;561840000.0;578660000.0
col;oil_consumption_total;3840000.0;4397900.0;4433200.0;4933600.0;4735800.0;5341700.0;5531000.0;6297000.0;6024000.0;6675000.0;6716000.0;7087000.0;7096000.0;7224000.0;7673000.0;7286500.0;7468400.0;7655200.0;7924900.0;7875400.0;8175500.0;8085100.0;8505400.0;8958000.0;9189200.0;9332200.0;9574900.0;10546000.0;11236000.0;11591000.0;12224000.0;12624000.0;12830000.0;12521000.0;11087000.0;10864000.0;10173000.0;10011000.0;10430000.0;10436000.0;10853000.0;10855000.0;10738000.0;11685000.0;10671000.0;11931000.0;12767000.0;13860000.0;13905000.0;14766000.0;15551000.0;15910000.0
cze;oil_consumption_total;3997000.0;4418000.0;4916000.0;5420000.0;5819000.0;6984000.0;7685000.0;8419000.0;9470000.0;9719000.0;10725000.0;11336000.0;11852000.0;12261000.0;12461000.0;11600000.0;11431000.0;10427000.0;10207000.0;10818000.0;10623000.0;10178000.0;10270000.0;9856000.0;9380000.0;8447000.0;7095000.0;6780000.0;6873000.0;7057000.0;8005000.0;8369000.0;7969000.0;8261000.0;8198000.0;7937000.0;8374000.0;8143000.0;8700000.0;9545000.0;9935000.0;9821000.0;9739000.0;9906000.0;9670000.0;9191000.0;9034000.0;8954000.0;8542000.0;9063000.0;8928000.0;8401500.0
deu;oil_consumption_total;86274000.0;96472000.0;100070000.0;112370000.0;126330000.0;138750000.0;144040000.0;152240000.0;162230000.0;146980000.0;142620000.0;154030000.0;152470000.0;158120000.0;163160000.0;147320000.0;133450000.0;125940000.0;123100000.0;122470000.0;126340000.0;133260000.0;129490000.0;129370000.0;121610000.0;127280000.0;133140000.0;134340000.0;136320000.0;135140000.0;135150000.0;137360000.0;136450000.0;136590000.0;132400000.0;129780000.0;131590000.0;127430000.0;125130000.0;123980000.0;122400000.0;123550000.0;112490000.0;118880000.0;113880000.0;115380000.0;111980000.0;111440000.0;113380000.0;110440000.0;110000000.0;112990000.0
dnk;oil_consumption_total;10405000.0;11863000.0;12553000.0;13637000.0;16421000.0;18277000.0;18029000.0;19088000.0;17601000.0;15955000.0;15745000.0;16741000.0;16729000.0;16657000.0;15909000.0;13589000.0;12825000.0;11040000.0;10442000.0;10321000.0;10640000.0;10506000.0;9645000.0;9583000.0;9230000.0;9030000.0;9157000.0;9071000.0;9521000.0;10147000.0;10581000.0;11525000.0;11109000.0;10714000.0;10646000.0;10343000.0;9924000.0;9583000.0;9228000.0;9058000.0;9163000.0;9357000.0;9416000.0;9278000.0;8260000.0;8355000.0;8257000.0;7752000.0;7722000.0;7829100.0;7988700.0;8038300.0
dza;oil_consumption_total;1289000.0;1693000.0;1578000.0;1682000.0;1775000.0;2032000.0;2288000.0;2514000.0;2739000.0;3036000.0;3378000.0;3877000.0;4400000.0;4521000.0;5420000.0;5469000.0;5889000.0;6245000.0;7011000.0;7760000.0;7966000.0;8078000.0;8158000.0;8168000.0;8553000.0;9156000.0;9069000.0;9113000.0;9079000.0;8670000.0;8433000.0;8060000.0;7986000.0;8217000.0;8110000.0;8483000.0;8782000.0;9734000.0;10125000.0;10590000.0;11034000.0;11516000.0;12901000.0;14021000.0;14868000.0;14835000.0;15831000.0;16822000.0;17562000.0;17660000.0;19463000.0;18892000.0
ecu;oil_consumption_total;661000.0;691000.0;746000.0;891000.0;946000.0;1081000.0;1194000.0;1228000.0;1363000.0;1557000.0;1520000.0;1709000.0;2131000.0;2173000.0;2314000.0;2962000.0;3327000.0;3643000.0;3337000.0;3344000.0;4120000.0;4182000.0;4217000.0;4079000.0;4216000.0;4180000.0;4740000.0;4571000.0;4790000.0;5225000.0;5053000.0;5679000.0;6517000.0;6641000.0;6027000.0;6376000.0;6338000.0;6813000.0;7047000.0;7231400.0;7877000.0;8341600.0;8480200.0;8733500.0;8898300.0;10277000.0;10539000.0;10917000.0;11563000.0;12183000.0;11797000.0;11043000.0
egy;oil_consumption_total;6936000.0;7449000.0;6060000.0;6342000.0;4680000.0;6075000.0;6264000.0;7150000.0;6722000.0;7420000.0;8218000.0;9712000.0;10366000.0;10728000.0;11763000.0;13165000.0;15151000.0;17237000.0;18990000.0;20480000.0;20803000.0;20887000.0;21707000.0;22042000.0;22911000.0;23756000.0;23369000.0;22712000.0;21611000.0;21467000.0;23280000.0;24599000.0;25962000.0;27327000.0;27812000.0;27200000.0;26082000.0;25244000.0;25920000.0;26821000.0;29818000.0;28664000.0;30559000.0;32644000.0;34392000.0;36297000.0;33697000.0;35307000.0;35758000.0;38322000.0;39625000.0;40640000.0
esp;oil_consumption_total;14209000.0;16801000.0;20340000.0;21606000.0;24600000.0;28066000.0;30898000.0;32540000.0;39138000.0;41081000.0;42652000.0;48346000.0;45508000.0;46394000.0;49146000.0;52153000.0;50358000.0;47760000.0;47775000.0;44779000.0;42880000.0;42723000.0;44727000.0;45778000.0;48104000.0;46212000.0;46975000.0;53236000.0;50469000.0;52286000.0;57469000.0;59077000.0;61566000.0;66685000.0;68968000.0;69898000.0;73024000.0;73677000.0;76152000.0;78499000.0;79283000.0;79314000.0;80343000.0;77985000.0;73547000.0;72100000.0;68817000.0;64729000.0;59280000.0;58959000.0;61200000.0;62480000.0
fin;oil_consumption_total;5721000.0;6923000.0;7249000.0;8224000.0;9563000.0;10763000.0;11138000.0;11865000.0;13272000.0;11561000.0;11943000.0;12826000.0;12507000.0;12545000.0;13302000.0;12794000.0;12251000.0;11314000.0;10504000.0;10648000.0;10754000.0;11250000.0;11184000.0;11033000.0;11011000.0;11304000.0;11199000.0;11045000.0;10626000.0;11074000.0;10206000.0;10412000.0;10299000.0;10777000.0;10863000.0;10902000.0;10669000.0;11120000.0;11470000.0;10693000.0;11091000.0;10673000.0;10810000.0;10651000.0;10060000.0;10551000.0;9710800.0;9141800.0;9011800.0;8632100.0;8742400.0;8998500.0
fra;oil_consumption_total;53887000.0;57663000.0;66219000.0;71782000.0;82953000.0;94272000.0;102770000.0;114120000.0;127270000.0;121010000.0;110380000.0;119450000.0;114580000.0;118960000.0;118340000.0;109890000.0;99004000.0;91504000.0;89400000.0;85888000.0;84300000.0;86040000.0;86600000.0;86000000.0;88400000.0;89400000.0;94645000.0;94444000.0;91087000.0;88227000.0;89041000.0;90996000.0;91664000.0;94978000.0;96448000.0;94938000.0;95454000.0;92876000.0;93086000.0;94049000.0;93064000.0;92994000.0;91434000.0;90838000.0;87537000.0;84463000.0;83024000.0;80301000.0;79253000.0;76902000.0;76783000.0;76374000.0
gbr;oil_consumption_total;74981000.0;80276000.0;86151000.0;91082000.0;97918000.0;103890000.0;104510000.0;110800000.0;113620000.0;105530000.0;92196000.0;91557000.0;92250000.0;94303000.0;94717000.0;80918000.0;74734000.0;75626000.0;72489000.0;89684000.0;77485000.0;77457000.0;75210000.0;80039000.0;81822000.0;82994000.0;82645000.0;83723000.0;84156000.0;83204000.0;82236000.0;84247000.0;81692000.0;81224000.0;79870000.0;78845000.0;78684000.0;78203000.0;78732000.0;81006000.0;83774000.0;83227000.0;80699000.0;79535000.0;75822000.0;74920000.0;73618000.0;71397000.0;70299000.0;69826000.0;71753000.0;73141000.0
grc;oil_consumption_total;4435000.0;4839000.0;5689000.0;5815000.0;6190000.0;6707000.0;7405000.0;8586000.0;10000000.0;9390000.0;9943000.0;10574000.0;10764000.0;11702000.0;12383000.0;12400000.0;11920000.0;11901000.0;11414000.0;11689000.0;11978000.0;12159000.0;13205000.0;13661000.0;14961000.0;14679000.0;14865000.0;15189000.0;15477000.0;15987000.0;16569000.0;17364000.0;17654000.0;18642000.0;18012000.0;18883000.0;19302000.0;19378000.0;20293000.0;20116000.0;20138000.0;21256000.0;21382000.0;20358000.0;19471000.0;18085000.0;17001000.0;15267000.0;14498000.0;14382000.0;14918000.0;15377000.0
hkg;oil_consumption_total;2120800.0;2323900.0;2784900.0;3040900.0;3604900.0;3894000.0;4097000.0;4679000.0;4855000.0;4969000.0;4670000.0;5518000.0;5968000.0;6200000.0;6338000.0;6486000.0;6879000.0;6694000.0;5941000.0;5491000.0;5157000.0;5021000.0;4910000.0;5628000.0;6002000.0;6283000.0;6270000.0;8065000.0;8388000.0;8931000.0;9568000.0;9375000.0;9281000.0;8902000.0;9481000.0;9889000.0;11952000.0;13075000.0;13123000.0;15568000.0;14027000.0;15215000.0;16382000.0;14848000.0;16876000.0;17802000.0;17976000.0;17209000.0;17606000.0;16649000.0;18262000.0;18892000.0
hun;oil_consumption_total;3776000.0;4144000.0;4379000.0;4579000.0;5115000.0;5932000.0;6679000.0;7259000.0;8155000.0;8932000.0;10049000.0;10506000.0;11178000.0;12366000.0;11629000.0;11279000.0;10775000.0;10197000.0;9669000.0;10137000.0;10325000.0;9530000.0;10001000.0;9241000.0;8930000.0;9276000.0;8014000.0;8090000.0;7691000.0;8129000.0;7651000.0;7073000.0;7106000.0;7431000.0;7141000.0;6849000.0;6692000.0;6398000.0;6139000.0;6345000.0;7358000.0;7755000.0;7736000.0;7492000.0;7064000.0;6696000.0;6371200.0;5949200.0;5904200.0;6599200.0;6994600.0;7102200.0
idn;oil_consumption_total;6120000.0;5894000.0;5670000.0;5993000.0;6393000.0;6790000.0;7029000.0;7584000.0;9055000.0;9468000.0;10863000.0;11723000.0;14096000.0;15534000.0;16919000.0;18941000.0;21073000.0;21801000.0;21448000.0;22903000.0;22550000.0;23838000.0;24828000.0;26101000.0;27600000.0;31719000.0;33591000.0;36214000.0;38012000.0;39051000.0;41548000.0;44103000.0;48869000.0;46541000.0;48672000.0;54311000.0;55165000.0;57569000.0;58266000.0;62060000.0;61501000.0;58458000.0;61776000.0;60093000.0;60813000.0;64684000.0;73078000.0;74415000.0;74463000.0;75262000.0;71789000.0;72588000.0
ind;oil_consumption_total;12642000.0;14126000.0;14570000.0;16316000.0;19596000.0;19505000.0;20475000.0;22091000.0;23314000.0;22834000.0;23347000.0;24593000.0;26413000.0;28717000.0;31004000.0;31633000.0;34036000.0;35403000.0;37223000.0;39934000.0;43333000.0;45530000.0;46995000.0;51530000.0;55801000.0;57943000.0;58903000.0;62075000.0;62662000.0;67384000.0;75232000.0;81062000.0;86503000.0;92527000.0;100300000.0;106150000.0;106960000.0;113230000.0;116460000.0;119470000.0;121900000.0;128260000.0;138050000.0;144700000.0;152560000.0;155390000.0;163020000.0;173580000.0;175350000.0;180850000.0;195840000.0;212680000.0
irl;oil_consumption_total;2424000.0;2704000.0;3023000.0;3364000.0;3651000.0;4101000.0;4525000.0;4984000.0;5401000.0;5352000.0;5232000.0;5305000.0;5658000.0;6041000.0;6350000.0;5716000.0;5063000.0;4414000.0;4008000.0;3942000.0;3930000.0;4869000.0;4260000.0;3845000.0;3956000.0;4409000.0;4850000.0;5074000.0;5139000.0;5612000.0;5713000.0;6001000.0;6578000.0;7361000.0;8343000.0;8216000.0;8967000.0;8785000.0;8534000.0;8854000.0;9310000.0;9277000.0;9416000.0;9031000.0;8048800.0;7645000.0;6824000.0;6495000.0;6547000.0;6471000.0;6814000.0;7041000.0
irn;oil_consumption_total;7109100.0;7767200.0;8570700.0;9439700.0;10287000.0;11101000.0;12133000.0;13465000.0;16153000.0;18699000.0;21844000.0;24739000.0;28677000.0;31199000.0;32209000.0;28766000.0;28603000.0;31036000.0;37599000.0;40442000.0;44665000.0;41140000.0;43367000.0;45528000.0;50046000.0;51925000.0;55510000.0;59574000.0;62628000.0;64618000.0;63947000.0;65711000.0;68503000.0;67177000.0;67743000.0;69775000.0;70706000.0;70953000.0;71172000.0;73315000.0;80529000.0;87712000.0;89570000.0;93086000.0;92183000.0;83579000.0;84740000.0;85669000.0;93551000.0;90449000.0;84503000.0;83827000.0
isr;oil_consumption_total;3878100.0;4044900.0;4216200.0;4396300.0;4584700.0;4779900.0;4985000.0;5208000.0;5509000.0;5620000.0;5795000.0;6121000.0;6397000.0;6821000.0;7481000.0;8010000.0;8154000.0;7887000.0;7437000.0;6918000.0;6508000.0;6748000.0;7557000.0;8354000.0;8571000.0;8878000.0;9110000.0;9582000.0;9949000.0;11009000.0;12362000.0;12385000.0;11678000.0;12419000.0;13228000.0;13527000.0;12514000.0;12356000.0;12629000.0;11845000.0;12186000.0;11744000.0;12340000.0;12011000.0;10801000.0;11213000.0;11844000.0;13945000.0;11463000.0;10599000.0;11367000.0;11620000.0
ita;oil_consumption_total;52290000.0;57651000.0;63717000.0;70259000.0;77334000.0;87333000.0;93821000.0;98188000.0;103560000.0;100750000.0;94531000.0;98819000.0;96064000.0;99775000.0;103200000.0;97897000.0;95658000.0;90693000.0;89198000.0;84861000.0;84394000.0;86450000.0;90140000.0;91690000.0;93806000.0;93622000.0;92444000.0;94453000.0;92649000.0;92468000.0;95525000.0;94181000.0;94551000.0;94690000.0;94391000.0;93527000.0;92799000.0;92897000.0;92075000.0;89659000.0;86674000.0;86720000.0;83974000.0;80385000.0;75108000.0;73085000.0;70512000.0;64228000.0;59423000.0;55793000.0;57633000.0;58101000.0
jpn;oil_consumption_total;87936000.0;100050000.0;122970000.0;142740000.0;169070000.0;199240000.0;219760000.0;234470000.0;269190000.0;259030000.0;244090000.0;253550000.0;258520000.0;264060000.0;266890000.0;237850000.0;223800000.0;209530000.0;209140000.0;219760000.0;207580000.0;209590000.0;210310000.0;226370000.0;235050000.0;246460000.0;250010000.0;256050000.0;250300000.0;264900000.0;269050000.0;270510000.0;267060000.0;256150000.0;260690000.0;256990000.0;248820000.0;244420000.0;250280000.0;243840000.0;247140000.0;238030000.0;230890000.0;224770000.0;200260000.0;202710000.0;203680000.0;217680000.0;207400000.0;197030000.0;189010000.0;184300000.0
kaz;oil_consumption_total;;;;;;;;;;;;;;;;;;;;;20700000.0;18869000.0;18250000.0;18335000.0;18720000.0;21554000.0;21748000.0;20330000.0;15730000.0;12321000.0;11975000.0;10184000.0;10225000.0;8505300.0;7013400.0;7066000.0;7671000.0;8295000.0;8901000.0;9110600.0;9330800.0;10651000.0;11595000.0;11478000.0;9287600.0;9873800.0;11536000.0;11531000.0;12081000.0;12295000.0;13183000.0;13195000.0
kor;oil_consumption_total;1287000.0;1927000.0;3342000.0;4942000.0;6709000.0;8380000.0;9461000.0;9876000.0;12158000.0;12550000.0;14194000.0;15949000.0;18984000.0;21672000.0;24367000.0;24123000.0;23872000.0;23683000.0;24711000.0;24770000.0;26081000.0;28352000.0;29768000.0;35644000.0;40959000.0;49527000.0;59890000.0;72310000.0;79307000.0;86997000.0;94845000.0;101440000.0;111350000.0;93910000.0;100700000.0;103760000.0;103520000.0;105340000.0;106370000.0;104680000.0;104740000.0;104710000.0;107650000.0;103100000.0;103750000.0;104960000.0;105790000.0;108770000.0;108290000.0;107940000.0;113780000.0;122150000.0
kwt;oil_consumption_total;5448800.0;5323500.0;5202800.0;5087800.0;4977600.0;4872400.0;4814000.0;5235000.0;4978000.0;4573000.0;3645000.0;4237000.0;4099000.0;4397000.0;4912000.0;4192000.0;5724000.0;6588000.0;7239000.0;7621000.0;7522000.0;7755000.0;7659000.0;7519000.0;7578000.0;3268000.0;3486000.0;4915000.0;5094000.0;6858000.0;7084000.0;6906000.0;7506400.0;10511000.0;11745000.0;11805000.0;12168000.0;13166000.0;15608000.0;17786000.0;19529000.0;17697000.0;17862000.0;19016000.0;20435000.0;20942000.0;20360000.0;24410000.0;22678000.0;20983000.0;22273000.0;21993000.0
ltu;oil_consumption_total;;;;;;;;;;;;;;;;;;;;;8676700.0;7260300.0;7967200.0;7660800.0;7859500.0;7512400.0;8262900.0;4342700.0;3790400.0;3518200.0;3172700.0;3295500.0;3263000.0;3756000.0;3085000.0;2372000.0;2740000.0;2530000.0;2420000.0;2596600.0;2777100.0;2806300.0;2788500.0;3060400.0;2629800.0;2695300.0;2607300.0;2685000.0;2610200.0;2553600.0;2794500.0;2990900.0
mex;oil_consumption_total;14229000.0;14761000.0;15783000.0;17294000.0;18211000.0;19601000.0;20709000.0;23186000.0;24657000.0;28412000.0;31951000.0;35445000.0;36574000.0;41551000.0;44656000.0;49396000.0;54021000.0;55754000.0;54398000.0;58029000.0;60510000.0;60770000.0;63731000.0;63556000.0;67845000.0;71008000.0;74021000.0;74823000.0;74549000.0;81411000.0;74750000.0;76842000.0;79890000.0;84150000.0;84087000.0;88137000.0;86608000.0;82791000.0;84958000.0;88466000.0;90836000.0;89666000.0;92027000.0;91635000.0;88535000.0;88571000.0;90305000.0;92289000.0;89824000.0;85419000.0;84390000.0;82840000.0
mys;oil_consumption_total;2285000.0;2658600.0;2713100.0;2753500.0;2838900.0;3128300.0;3425100.0;3805900.0;4124700.0;4110600.0;4334600.0;4840700.0;5510500.0;5941400.0;7205100.0;8154800.0;8688100.0;9073200.0;9714000.0;9538300.0;9510700.0;9104800.0;9335600.0;10145000.0;10491000.0;12632000.0;13601000.0;14880000.0;16389000.0;18045000.0;18870000.0;20647000.0;23872000.0;20292000.0;22342000.0;22410000.0;23305000.0;26030000.0;27568000.0;27987000.0;28002000.0;28881000.0;30809000.0;29455000.0;29227000.0;29271000.0;31545000.0;32911000.0;34945000.0;34938000.0;35543000.0;36290000.0
nld;oil_consumption_total;25286000.0;27384000.0;27999000.0;30111000.0;32899000.0;36510000.0;35988000.0;40060000.0;41290000.0;35387000.0;34828000.0;39180000.0;37596000.0;38365000.0;41510000.0;38793000.0;36220000.0;31506000.0;29737000.0;29352000.0;29590000.0;32800000.0;33004000.0;35096000.0;34618000.0;36211000.0;35725000.0;37318000.0;37060000.0;37248000.0;38676000.0;38318000.0;40288000.0;40525000.0;41458000.0;42668000.0;44848000.0;44658000.0;45058000.0;47072000.0;50058000.0;50770000.0;50657000.0;47287000.0;45919000.0;45874000.0;46077000.0;43705000.0;41437000.0;39621000.0;38734000.0;39945000.0
nor;oil_consumption_total;5105000.0;5761000.0;5956000.0;6630000.0;7291000.0;8198000.0;8092000.0;8476000.0;8609000.0;7841000.0;8100000.0;8957000.0;8820000.0;9850000.0;9786000.0;9391000.0;8727000.0;8374000.0;8272000.0;8565000.0;8992000.0;9698000.0;9586000.0;8976000.0;9113000.0;9334000.0;8566000.0;8896000.0;9341000.0;9597000.0;9381000.0;10166000.0;10278000.0;10283000.0;10198000.0;9370000.0;10223000.0;9806000.0;10360000.0;10009000.0;10155000.0;10453000.0;10673000.0;10374000.0;10720000.0;10754000.0;10604000.0;10535000.0;10758000.0;10152000.0;10309000.0;10412000.0
