geo;indicator;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008
chn;flood_affected_annual_number;0;0;0;0;0;0;0;0;0;0;113400;3189000;816600;100;28030;19220;9800000;940700;25650000;100000000;42310000;210200000;685000;8631;111500000;126600000;154700000;7690000;242700000;107200000;763300;2346000;113300000;155900000;42720000;34750000;14990000;111100000;7190000
civ;flood_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7000;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;2000;456
cmr;flood_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1002;0;0;202;0;0;6;0;0;0;0;1024;503;1530;0;0;0;2;0;10300;25010
cod;flood_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27520;0;0;0;89;0;0;35510;0;78000;0;13080;2580;1482;0;0;12970;1632;517
cog;flood_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16500;0;0;0;20000;42000;0;0;53000;0;0;2001;5006;25000;0
col;flood_affected_annual_number;5109000;51;0;5181;0;0;47;0;0;102100;90;150;90;0;0;0;250000;871;130900;16;20640;0;0;80350;18010;86070;180200;15000;0;151400;79110;6000;124600;74120;531600;602000;221600;1611000;1250000
cri;flood_affected_annual_number;15260;0;0;0;0;0;0;0;0;0;1351;0;0;0;0;0;0;0;12510;0;0;185000;0;38460;2558;0;20010;0;0;10000;0;1437;95050;2501;3058;3003;0;24520;154500
cub;flood_affected_annual_number;0;0;0;0;0;0;0;18010;0;0;0;0;0;164600;0;3000;7500;0;90040;0;11000;0;9127;572000;38610;33180;10870;35000;0;0;677;0;35000;600;0;0;1502;18000;20000
cze;flood_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;102100;6;0;0;0;200000;0;0;1;4321;0;0
deu;flood_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100000;2;0;0;5200;0;100000;0;0;330100;0;0;451;1000;1;0
deu_west;flood_affected_annual_number;0;0;0;0;0;0;0;0;2;0;0;0;0;12;0;0;0;0;3506;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dji;flood_affected_annual_number;0;0;0;0;0;0;0;91000;106000;0;0;102000;0;0;0;0;0;0;0;150300;0;0;0;20000;120100;0;0;0;0;0;0;0;0;0;100100;0;0;0;0
dom;flood_affected_annual_number;0;0;0;0;0;0;0;0;0;1032;0;150000;0;0;0;907;0;0;1191000;0;0;10;0;20030;0;0;1003;0;0;0;0;0;1753;65470;10690;1453;0;19840;0
dza;flood_affected_annual_number;0;0;0;146000;20010;0;0;0;0;30000;0;93;8551;0;1524;15030;0;0;0;0;0;0;2279;38;31240;0;105;3004;0;714;249;46340;2353;91;27590;1832;60000;1387;59140
ecu;flood_affected_annual_number;150600;2400;0;30000;0;0;0;0;0;0;0;0;700300;200000;0;0;0;10000;0;30040;0;0;205000;0;0;0;0;49250;0;0;66;9588;54660;7905;0;0;57690;0;289200
egy;flood_affected_annual_number;0;0;0;0;0;15;0;0;0;66050;0;0;0;0;0;0;0;0;0;0;0;209;0;0;161300;3007;272;4;0;0;0;0;888;0;0;0;0;0;0
eri;flood_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7013;0;0;0;0
esp;flood_affected_annual_number;0;0;0;500;0;0;0;0;2;70;0;0;226700;507600;0;0;0;2005;0;12;0;0;0;0;10;0;4001;405;0;0;1024;0;56;0;600;0;0;4435;0
eth;flood_affected_annual_number;0;0;0;0;0;0;70000;16010;1009;0;0;20000;0;0;0;28010;0;0;47280;0;350000;0;0;34800;43020;93900;115000;65350;0;147300;30070;39500;4022;110100;0;242600;435100;245400;116500
fin;flood_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;400;0;0;0
fji;flood_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;215000;0;0;10;0;0;0;0;0;0;0;0;0;0;4;0;0;0;600;0;228;906;0
fra;flood_affected_annual_number;0;0;0;0;0;0;0;25030;1003;0;319;0;0;3730;0;0;0;23;310;0;0;0;3;4;423;0;1384;0;0;4141;2317;16880;3503;27010;0;4003;0;0;0
fsm;flood_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
gab;flood_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
gbr;flood_affected_annual_number;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;604;707;0;0;1;305;330;1440;240;751;0;1008;0;0;370200;3308
geo;flood_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;301;0;507;0;0;0;0;0;0;91;2500;600;0;0
gha;flood_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2807;0;2000000;0;0;0;700100;0;0;0;324700;0;144000;2204;0;0;0;0;332700;58000
gin;flood_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;5000;0;0;0;0;0;0;0;0;0;0;0;6066;0;0;0;0;0;0;0;220000;0;0;0;0;1200;20680;4200
glp;flood_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
gmb;flood_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4000;0;0;32050;0;251;0;0;0;0;0;300;400
gnb;flood_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1003;0;0;0;750
grc;flood_affected_annual_number;0;0;0;0;0;0;0;1627;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1014;0;0;9;903;0;6601;1061;390;450;0;0;3091;602;0
grd;flood_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
gtm;flood_affected_annual_number;0;0;0;1005;0;0;0;0;0;0;0;0;20880;0;0;0;0;6599;6000;10;0;0;0;0;610;7466;0;0;0;6035;3022;0;98740;0;0;0;0;2107;180000
guf;flood_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70000;0;0;0;0;0;0;0;0;0;0;0;0
guy;flood_affected_annual_number;0;21000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38000;0;0;0;0;0;0;0;0;274800;35000;0;100000
