geo;indicator;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
can;coal_consumption_total;15476000.0;15172000.0;15032000.0;16331000.0;15767000.0;16928000.0;16090000.0;15183000.0;15637000.0;15888000.0;15457000.0;18300000.0;23384000.0;19228000.0;18207000.0;22175000.0;22641000.0;23925000.0;25031000.0;27882000.0;26801000.0;24839000.0;26697000.0;28669000.0;28609000.0;27137000.0;26268000.0;26759000.0;23758000.0;25191000.0;26331000.0;26881000.0;28104000.0;30055000.0;28901000.0;30588000.0;31796000.0;31992000.0;31926000.0;29997000.0;30051000.0;29164000.0;30286000.0;29399000.0;23485000.0;24766000.0;21762000.0;21050000.0;20765000.0;19731000.0;19646000.0;18677000.0
che;coal_consumption_total;1275400.0;1054500.0;889460.0;840740.0;760490.0;652530.0;440670.0;372840.0;353970.0;305250.0;228810.0;214960.0;250790.0;225710.0;233350.0;341550.0;505160.0;446880.0;390040.0;501100.0;503250.0;433030.0;402930.0;343940.0;355640.0;355640.0;302140.0;209230.0;175310.0;177460.0;190360.0;142350.0;109630.0;91000.0;94583.0;137810.0;144020.0;132800.0;136380.0;129450.0;144260.0;155730.0;174360.0;156680.0;147850.0;148320.0;139490.0;125870.0;135430.0;140920.0;129220.0;129570.0
chl;coal_consumption_total;1165000.0;1200000.0;1200000.0;1200000.0;1200000.0;1283000.0;1239000.0;1024000.0;1112000.0;1054000.0;842000.0;850000.0;915000.0;892000.0;987000.0;1090000.0;1088000.0;725000.0;869000.0;1172000.0;1173000.0;1114000.0;1148000.0;1600000.0;2162000.0;2604600.0;2139800.0;1850200.0;1866700.0;2201700.0;2373600.0;3289100.0;4281800.0;4028700.0;4157400.0;3212700.0;2520600.0;2540600.0;2429100.0;2813700.0;2757500.0;3442700.0;4086100.0;4369500.0;3994600.0;4490900.0;5759800.0;6715300.0;7548400.0;7614600.0;7313400.0;8233700.0
chn;coal_consumption_total;114420000.0;122400000.0;108800000.0;107990000.0;130410000.0;165920000.0;191310000.0;202310000.0;204970000.0;202800000.0;228560000.0;234150000.0;257570000.0;282820000.0;292580000.0;304300000.0;302680000.0;320280000.0;342990000.0;373020000.0;407250000.0;425750000.0;461930000.0;496240000.0;519940000.0;527470000.0;553180000.0;578800000.0;616540000.0;657070000.0;665250000.0;696080000.0;682020000.0;676850000.0;696390000.0;706050000.0;742540000.0;814050000.0;970170000.0;1131200000.0;1324600000.0;1454700000.0;1584200000.0;1609300000.0;1685800000.0;1748900000.0;1903900000.0;1927800000.0;1969100000.0;1954500000.0;1913600000.0;1887600000.0
col;coal_consumption_total;2014000.0;2014000.0;2210000.0;2013000.0;2149000.0;2243000.0;1744300.0;1812300.0;1845700.0;2231900.0;2268700.0;2218900.0;2274700.0;2299100.0;2319200.0;2432300.0;2478100.0;2580200.0;2843900.0;2960800.0;3053700.0;3015300.0;3791400.0;3024500.0;3504200.0;1597800.0;2009400.0;3360900.0;3523800.0;4033400.0;3609400.0;2798000.0;3313900.0;3151600.0;2516900.0;2703200.0;2661900.0;2189300.0;2426900.0;2123700.0;1338100.0;3716100.0;3231200.0;4912700.0;4000400.0;4693200.0;3733500.0;4607200.0;4979500.0;5241700.0;5314700.0;4584700.0
cze;coal_consumption_total;35326000.0;35222000.0;34062000.0;35259000.0;36647000.0;37100000.0;38653000.0;38102000.0;37283000.0;37145000.0;37938000.0;38678000.0;39514000.0;39668000.0;39680000.0;38451000.0;38295000.0;38592000.0;38375000.0;39098000.0;38249000.0;38076000.0;37633000.0;38074000.0;36608000.0;31455000.0;28878000.0;25823000.0;24610000.0;22841000.0;22660000.0;22564000.0;23173000.0;21254000.0;18408000.0;21643000.0;21185000.0;20792000.0;21044000.0;20983000.0;20247000.0;21035000.0;21389000.0;19741000.0;17655000.0;18768000.0;18414000.0;17407000.0;17203000.0;16037000.0;16580000.0;16900000.0
deu;coal_consumption_total;160750000.0;150070000.0;144570000.0;146640000.0;150990000.0;149100000.0;142680000.0;139280000.0;139740000.0;140340000.0;127130000.0;134210000.0;128890000.0;130570000.0;138160000.0;141340000.0;143710000.0;140280000.0;145400000.0;150060000.0;149270000.0;141050000.0;140470000.0;138810000.0;141020000.0;131530000.0;115530000.0;104430000.0;98519000.0;95568000.0;90622000.0;90232000.0;87431000.0;85341000.0;82165000.0;85305000.0;85549000.0;85739000.0;87156000.0;84962000.0;81289000.0;84550000.0;86697000.0;80121000.0;71736000.0;77057000.0;78314000.0;80488000.0;82837000.0;79613000.0;78471000.0;75284000.0
dnk;coal_consumption_total;3698100.0;4191300.0;3588400.0;3215200.0;2936800.0;2349000.0;1437500.0;1468600.0;2250900.0;2126300.0;2051400.0;2850100.0;3278600.0;3612100.0;4307600.0;6147700.0;4913500.0;5927100.0;5660400.0;5966100.0;7271700.0;7355600.0;7220200.0;6755600.0;5552000.0;6090600.0;8260900.0;6880900.0;7217900.0;7761900.0;6488400.0;8918600.0;6630100.0;5634700.0;4733700.0;3971000.0;4197400.0;4202400.0;5733700.0;4395000.0;3708200.0;5627000.0;4652500.0;4097600.0;4031200.0;3832600.0;3238200.0;2473200.0;3236000.0;2626300.0;1728400.0;2094100.0
dza;coal_consumption_total;70000.0;68000.0;52000.0;55000.0;70000.0;83000.0;23000.0;20000.0;23000.0;19000.0;24000.0;47000.0;61000.0;31000.0;72000.0;64000.0;45000.0;835000.0;745000.0;826000.0;862000.0;885000.0;1058000.0;995000.0;841000.0;659000.0;680000.0;808000.0;658000.0;620000.0;620000.0;292000.0;512000.0;548000.0;587000.0;485000.0;560000.0;735000.0;606000.0;723000.0;594000.0;882000.0;757000.0;757000.0;486000.0;310000.0;275000.0;292000.0;158000.0;179000.0;144000.0;144390.0
ecu;coal_consumption_total;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
