geo;indicator;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008
fji;earthquake_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
gbr;earthquake_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
geo;earthquake_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3748;11;0;0;0;0;0;0;0;0;0;19160;0;0;0;0;0;0
gin;earthquake_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;21710;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
glp;earthquake_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;154;0;0;0;0
grc;earthquake_affected_annual_number;0;0;0;0;0;0;0;0;600200;48;18;80870;0;487;0;186;45320;0;25;0;62;0;0;2122;0;29010;1500;0;0;115300;600;300;167;50;0;0;0;0;3710
gtm;earthquake_affected_annual_number;0;0;0;0;0;0;5016000;0;0;2040;0;0;20;0;0;5000;2500;0;2055;0;0;23900;0;0;0;0;0;0;0;282;0;158;0;0;0;0;0;0;0
gum;earthquake_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hnd;earthquake_affected_annual_number;0;0;0;0;0;0;0;0;0;0;2;0;500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1883;0
hrv;earthquake_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2000;0;0;0;0;0;0;0;0;0;0;0;0
idn;earthquake_affected_annual_number;0;0;0;0;0;0;477900;4187;0;86270;20000;2988;23830;100;1949;17;0;32230;0;23010;9317;17220;102100;0;261100;92030;38810;3125;6982;16920;270300;12510;11860;3250;140900;106900;3186000;619600;10740
ind;earthquake_affected_annual_number;26;0;100;0;0;47;0;0;0;0;61;212;0;0;10920;0;36;0;20000000;0;0;55880;0;40270;0;0;0;156500;0;478000;0;6342000;202;0;0;157900;0;0;0
irn;earthquake_affected_annual_number;10180;0;28520;0;0;0;16;421800;65100;20790;150;37200;0;7515;0;7081;1905;3977;16560;1817;772400;1501;4055;5076;16660;0;0;226000;9312;7061;3016;1000;147400;323800;533;117500;168600;0;20720
irq;earthquake_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;520;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
isl;earthquake_affected_annual_number;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;199;0;0;0;0;0;0;0;0
ita;earthquake_affected_annual_number;0;4242;451;0;0;0;251200;0;905;5005;404700;318;6000;21030;9589;0;0;0;0;0;2737;0;0;0;0;0;0;38110;905;0;0;0;9572;232;0;0;0;0;0
jpn;earthquake_affected_annual_number;0;0;0;0;103;0;0;0;2647;27;82;0;1100;208;29;20;0;22650;0;0;0;0;32;18120;1792;548500;0;0;0;0;7233;11260;0;21270;62220;4431;0;55240;841
kaz;earthquake_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36630;0;0;0;0;0
ken;earthquake_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
kgz;earthquake_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;136900;0;0;0;0;1230;0;0;0;0;0;0;0;0;12050;0;4271
lca;earthquake_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mar;earthquake_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14090;0;0;0;0
