geo;indicator;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
ita;residential_energy_use_percent;19.68;19.06;20.1;21.21;20.48;20.61;21.98;22.33;23.0;24.65;26.13;27.53;28.2;27.74;28.15;29.89;29.07;27.34;29.64;28.12;28.33;28.46;28.79;29.39;29.92;29.56;29.55;28.59;27.34;26.9;22.67;24.05;22.95;22.89;20.98;21.84;22.1;21.28;21.82;22.15;21.32;21.86;21.12;21.52;22.15;22.51;21.43;20.33;20.61;22.84;24.19
jam;residential_energy_use_percent;;;;;;;;;;;;5.984;6.582999999999999;5.25;6.064;6.666;8.316;7.61;7.445;6.903;6.5329999999999995;6.629;7.917999999999999;8.277999999999999;11.13;13.07;14.54;15.06;15.61;11.47;13.23;12.49;14.63;18.05;15.8;19.12;17.7;17.71;17.01;16.93;19.45;19.22;14.9;14.99;12.82;12.25;9.554;8.66;9.764;14.2;15.33
jor;residential_energy_use_percent;;;;;;;;;;;;32.21;28.32;25.5;26.28;25.92;24.52;24.32;21.11;22.24;23.75;23.33;21.42;19.74;21.01;19.17;15.84;16.43;18.14;19.55;20.49;21.41;23.52;22.26;22.56;21.26;25.08;25.63;24.34;24.77;24.98;24.19;24.62;25.53;24.15;23.37;23.32;22.32;22.63;22.76;22.15
jpn;residential_energy_use_percent;11.55;10.99;10.91;10.18;9.199;9.494;8.512;7.587000000000001;6.795;6.377999999999999;9.456;8.624;8.587;8.943;9.229;10.0;10.42;10.56;10.8;10.72;11.1;11.98;13.17;13.81;14.13;14.24;14.42;14.43;14.61;14.08;12.66;12.76;13.19;13.75;13.4;13.66;13.51;13.4;13.76;13.76;14.09;13.9;14.19;13.88;13.9;14.46;14.0;14.36;14.83;14.93;15.31
kaz;residential_energy_use_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;1.246;1.733;1.446;1.5030000000000001;1.5830000000000002;1.54;1.751;9.224;9.98;11.68;11.35;10.08;9.124;8.793;7.414;12.6;17.04;14.3
ken;residential_energy_use_percent;;;;;;;;;;;;75.15;74.8;74.97;74.93;76.1;75.35;73.77;74.69;75.59;75.45;75.73;77.51;78.75;76.82;76.64;76.17;76.17;77.38;77.32;77.49;78.46;78.95;79.44;80.11;79.94;79.34;80.46;82.48;83.87;84.53;82.86;82.56;83.4;83.3;82.19;79.98;80.15;80.67;78.89;76.48
kgz;residential_energy_use_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.228;1.3330000000000002;3.227;6.257999999999999;6.5889999999999995;9.222999999999999;7.257999999999999;7.165;6.359;9.007;11.19;10.02;7.862;10.27;10.17;12.06;13.15;9.936;5.627999999999999;4.5889999999999995;5.003
khm;residential_energy_use_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;67.34;68.04;67.52;65.15;64.52;63.93;61.7;69.53;69.56;59.76;57.54;55.23;52.6;51.11;64.34;62.53
kor;residential_energy_use_percent;;;;;;;;;;;;35.27;36.05;35.41;35.88;34.59;33.48;33.66;30.54;28.31;29.59;32.17;31.9;31.43;32.21;33.01;31.85;29.17;26.54;23.13;19.94;15.52;12.41;10.01;8.824;9.203;9.431000000000001;9.246;9.46;11.15;11.83;12.29;13.0;13.03;12.48;13.11;13.22;12.54;12.79;12.61;12.61
kos;residential_energy_use_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36.0;35.12;35.11;34.21;34.95;35.12;34.7;31.95;39.5;38.68;38.64
kwt;residential_energy_use_percent;;;;;;;;;;;;6.84;6.457000000000001;7.027;7.306;8.339;7.973;8.051;8.21;7.985;7.564;8.575;9.116;8.704;18.23;14.25;13.85;12.87;11.14;10.13;22.11;33.09;20.44;16.74;16.98;16.62;18.01;18.46;16.17;16.7;15.63;16.52;17.27;14.64;15.36;14.86;16.54;17.65;18.11;17.97;16.98
lbn;residential_energy_use_percent;;;;;;;;;;;;30.99;32.79;31.0;33.87;36.9;35.31;34.58;30.34;26.18;42.72;38.13;24.32;26.28;30.42;31.06;35.35;34.5;31.8;24.14;23.93;24.37;18.01;39.23;40.83;40.21;36.55;40.93;27.16;29.15;29.45;31.81;31.36;24.93;30.33;26.42;25.89;25.5;24.75;36.44;25.71
lby;residential_energy_use_percent;;;;;;;;;;;;28.86;22.97;19.76;17.8;16.72;16.88;16.42;15.69;13.94;13.41;11.87;9.532;9.07;9.379;9.9;10.63;13.7;15.37;15.04;15.63;15.44;15.44;15.45;14.77;14.23;14.7;15.41;16.78;16.69;16.67;17.34;15.52;16.22;15.67;17.39;17.66;16.75;15.18;13.42;13.84
lka;residential_energy_use_percent;;;;;;;;;;;;64.69;60.91;61.14;64.18;66.57;66.67;64.46;62.11;61.63;63.4;63.03;61.72;63.21;63.67;64.82;64.01;64.6;64.83;64.02;63.28;63.11;59.47;59.8;59.9;58.29;51.12;51.51;50.45;46.8;44.72;45.96;44.0;43.52;42.93;41.76;41.95;41.23;42.39;45.11;41.69
ltu;residential_energy_use_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.71;18.19;24.09;33.7;34.49;32.2;30.58;29.6;28.63;30.03;31.04;30.68;29.95;29.57;28.92;28.1;27.75;23.48;25.04;29.48;29.21
lux;residential_energy_use_percent;14.35;14.88;16.7;19.28;16.76;15.38;16.19;15.62;16.27;16.26;16.9;16.79;18.57;17.67;16.13;18.01;18.11;19.63;18.71;20.28;19.66;20.77;21.67;22.87;20.96;21.43;23.12;22.64;20.9;18.72;17.83;19.59;18.59;18.11;17.91;19.92;21.34;20.62;21.55;9.658;14.53;14.96;14.41;14.14;13.48;12.99;12.92;12.86;12.99;14.09;12.48
lva;residential_energy_use_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24.64;28.54;32.84;38.96;41.14;41.68;44.59;41.17;41.26;41.06;40.17;39.96;39.01;39.05;37.38;37.03;34.96;33.22;34.77;38.23;35.87
mar;residential_energy_use_percent;;;;;;;;;;;;18.5;18.79;18.12;18.55;19.52;20.4;20.62;19.99;20.16;20.37;20.93;21.56;22.87;23.53;23.4;24.34;26.31;26.02;24.57;20.62;21.04;20.67;22.15;21.34;22.38;21.69;21.83;22.15;22.11;22.17;21.63;22.08;22.63;22.32;21.46;22.05;22.14;22.15;21.68;21.42
mda;residential_energy_use_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.62;10.24;20.11;25.94;28.96;30.78;36.89;39.86;43.2;34.55;38.73;39.14;38.21;38.13;40.08;39.74;38.69;37.7;36.7;53.37;51.35
mex;residential_energy_use_percent;;;;;;;;;;;;23.27;22.25;21.62;19.75;19.6;18.95;18.66;17.48;16.71;16.93;15.68;16.03;16.07;16.49;15.98;16.81;16.23;16.46;16.76;18.72;18.25;19.02;18.97;18.96;19.42;18.58;18.28;18.41;17.64;18.43;18.53;18.15;18.31;17.46;16.82;16.23;15.75;15.55;16.07;15.73
mlt;residential_energy_use_percent;;;;;;;;;;;;27.0;21.57;27.17;26.99;26.49;29.3;30.5;29.79;21.3;18.2;16.55;14.26;21.32;27.33;27.65;18.55;19.55;20.23;20.11;20.8;18.38;18.6;17.39;20.1;19.25;21.72;18.1;17.52;19.96;23.92;24.18;29.23;27.99;25.25;23.83;25.62;26.29;20.9;18.66;17.77
mmr;residential_energy_use_percent;;;;;;;;;;;;85.2;85.98;88.79;87.09;87.1;86.36;85.4;84.92;84.35;83.88;83.75;84.18;84.84;84.04;84.69;84.29;88.83;89.24;89.51;89.84;90.5;90.76;89.55;85.9;83.28;82.46;83.39;82.23;81.13;78.12;80.82;81.08;77.81;78.31;77.37;78.78;77.91;82.77;82.48;80.68
mne;residential_energy_use_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24.97;21.88;23.78;26.69;31.35;30.64
mng;residential_energy_use_percent;;;;;;;;;;;;;;;;;;;;;;;;;;11.11;10.68;10.73;13.08;19.08;20.51;20.06;16.15;15.78;18.52;19.04;24.95;25.58;27.52;26.99;27.8;29.17;30.75;30.72;30.54;29.6;27.75;27.7;27.43;29.67;30.2
moz;residential_energy_use_percent;;;;;;;;;;;;77.88;78.62;77.95;78.22;79.57;79.37;79.77;81.47;82.08;80.62;81.89;82.19;82.43;83.13;82.83;82.75;82.62;82.6;82.64;82.86;83.34;82.31;81.29;82.35;82.04;83.09;82.91;82.2;82.1;80.74;77.55;77.42;74.31;72.89;73.54;73.17;72.2;72.62;73.06;72.59
mys;residential_energy_use_percent;;;;;;;;;;;;17.97;20.13;20.6;20.69;21.71;20.57;21.88;23.33;21.8;20.42;19.67;19.8;19.02;19.33;17.93;17.68;17.24;17.15;15.34;14.63;13.66;12.84;12.36;12.14;11.35;11.4;10.81;11.59;11.39;10.35;10.16;10.17;9.957;9.792;9.972999999999999;10.08;9.25;9.781;9.886000000000001;10.07
nam;residential_energy_use_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.47;17.41;18.26;17.86;17.65;17.0;17.35;17.01;17.94;18.09;15.98;18.08;17.58;16.44;15.07;15.5;15.47;14.1;13.87;13.72
nga;residential_energy_use_percent;;;;;;;;;;;;86.14;85.55;84.37;84.25;83.33;81.85;80.02;78.9;78.38;78.12;77.82;76.96;77.72;79.26;79.39;80.56;80.71;80.12;79.74;81.45;79.68;78.62;79.93;81.7;82.49;81.95;80.59;81.11;81.25;79.73;78.6;78.99;79.21;79.46;78.49;79.52;80.02;80.04;80.94;81.13
nic;residential_energy_use_percent;;;;;;;;;;;;51.9;52.05;49.97;47.61;47.97;45.45;44.04;46.55;54.4;51.35;50.15;50.57;51.75;52.38;51.71;53.94;54.04;57.5;59.85;58.32;61.14;61.86;62.43;59.92;59.95;58.96;57.39;58.85;55.06;55.7;57.52;56.22;59.98;60.38;60.06;56.18;47.45;49.19;50.88;48.61
nld;residential_energy_use_percent;34.32;34.46;35.72;38.33;34.92;33.98;33.41;31.22;31.98;33.15;31.54;28.57;28.08;27.41;25.02;27.09;25.69;25.91;25.03;24.38;26.09;24.91;26.79;24.95;22.32;23.77;20.58;20.74;19.89;19.86;20.25;20.91;19.87;20.66;20.32;20.26;21.97;19.69;19.02;18.85;18.16;18.46;17.88;17.72;17.48;16.8;17.45;14.75;15.68;16.95;17.78
nor;residential_energy_use_percent;15.71;14.97;15.77;16.19;16.01;15.74;15.88;15.3;15.94;15.78;16.15;15.28;14.98;14.03;13.49;14.29;19.53;20.08;19.68;19.7;19.94;20.05;20.71;20.12;19.95;20.21;21.03;20.77;20.35;20.05;20.67;21.28;21.23;20.96;21.35;20.79;20.94;20.34;20.19;19.85;19.32;19.55;19.92;18.86;18.26;18.96;18.71;18.4;18.31;19.96;20.21
npl;residential_energy_use_percent;;;;;;;;;;;;98.3;98.11;97.25;97.32;97.75;98.16;97.88;97.9;96.88;96.04;96.4;95.97;95.06;94.88;96.21;95.27;95.25;95.53;96.28;94.86;94.19;94.41;93.97;92.98;92.54;92.63;92.21;92.03;89.78;89.53;89.48;91.01;90.74;90.73;89.81;91.13;90.93;89.53;87.96;87.36
nzl;residential_energy_use_percent;17.47;17.37;17.09;17.7;16.35;16.96;17.04;15.88;18.01;18.13;16.93;16.62;15.75;15.36;15.87;16.84;16.44;15.87;15.16;15.16;14.67;15.08;14.93;14.93;13.45;13.33;13.46;13.08;12.15;12.31;12.14;12.02;11.53;11.39;11.02;10.67;10.73;10.73;11.14;10.65;10.48;10.71;10.21;11.11;11.03;11.43;11.69;11.35;11.37;12.16;11.85
omn;residential_energy_use_percent;;;;;;;;;;;;0.632;1.2819999999999998;2.3169999999999997;3.034;3.216;3.5660000000000003;4.689;5.098;5.507000000000001;6.308;7.747000000000001;9.198;11.41;9.102;9.567;14.44;14.55;14.18;14.13;13.51;9.115;10.65;12.6;16.64;13.26;12.97;13.57;15.5;13.59;12.51;11.92;11.96;11.85;13.59;10.76;11.14;11.4;16.17;16.85;11.67
pak;residential_energy_use_percent;;;;;;;;;;;;62.86;63.15;62.21;62.49;61.5;62.25;62.69;61.43;60.7;60.06;58.36;56.75;57.13;56.85;56.37;56.37;55.43;54.77;54.95;55.37;55.63;53.97;52.67;52.97;52.79;51.99;52.69;52.02;51.43;52.48;52.54;52.03;50.23;48.9;48.41;47.97;46.41;48.06;47.85;48.31
pan;residential_energy_use_percent;;;;;;;;;;;;41.56;41.55;38.65;37.32;37.21;35.69;34.88;34.12;32.71;32.76;33.72;33.45;32.72;32.73;32.45;32.03;32.6;36.8;35.98;35.33;33.46;32.94;31.94;31.45;30.13;30.06;29.83;28.83;28.16;27.83;27.44;27.42;30.09;25.59;21.93;23.68;21.23;25.25;22.53;23.17
per;residential_energy_use_percent;;;;;;;;;;;;41.14;41.88;41.26;39.93;40.06;40.21;41.96;43.07;43.14;43.46;42.39;43.27;46.31;45.57;45.3;44.13;42.57;42.98;44.54;42.48;43.0;42.47;39.63;37.39;35.52;34.65;34.5;34.41;31.85;32.59;34.5;33.3;33.23;29.7;30.15;30.38;28.34;22.41;24.37;26.12
phl;residential_energy_use_percent;;;;;;;;;;;;48.87;48.19;46.33;47.75;46.88;47.52;47.44;46.87;46.85;48.52;50.11;50.23;49.07;52.1;53.45;53.63;51.86;50.09;49.23;46.06;47.38;45.2;42.91;41.77;37.64;36.22;34.02;34.26;33.84;33.94;32.93;32.42;31.68;30.71;29.71;29.29;27.88;28.02;27.3;25.71
pol;residential_energy_use_percent;27.75;27.36;27.1;26.33;25.56;24.9;23.46;22.71;21.9;23.28;24.64;24.08;23.65;22.78;23.48;23.6;24.82;23.55;24.24;24.6;25.86;27.14;29.55;28.06;27.74;29.01;29.18;30.58;30.85;30.82;29.02;33.17;34.56;37.61;36.73;35.1;33.59;32.29;31.16;31.86;29.54;32.23;31.29;30.28;29.23;29.81;29.92;28.15;28.33;28.94;30.14
prk;residential_energy_use_percent;;;;;;;;;;;;0.1912;0.2168;0.2142;0.3532;0.4006;0.3736;0.3656;0.4785;0.7886;0.8526;0.8169;0.6444;0.6537;0.5227;0.5498;0.5367;0.5621;0.6211;0.7319;0.6507;0.6016;0.5315;0.5093;0.3812;0.4793;0.4621;0.2794;0.2727;0.1773;0.1659;0.2385;0.2483;0.2364;0.231;0.1816;0.14;0.1986;0.1862;0.151;0.1499
prt;residential_energy_use_percent;26.45;25.48;23.28;22.49;22.0;21.06;20.87;21.01;20.24;19.21;17.15;16.43;14.9;14.09;12.68;13.23;13.69;13.91;14.31;12.6;13.01;14.27;13.35;13.83;13.69;13.88;13.38;13.19;12.51;18.12;17.12;17.48;17.32;17.78;17.26;16.84;16.81;15.96;14.87;15.02;14.43;14.64;14.96;15.57;15.65;15.66;16.24;15.81;16.0;16.92;15.12
pry;residential_energy_use_percent;;;;;;;;;;;;61.69;61.32;57.97;59.56;62.1;59.24;57.34;53.78;52.53;48.58;49.51;49.19;49.14;49.8;49.84;54.24;49.89;48.54;46.25;46.98;48.27;42.18;42.86;38.12;35.77;35.72;35.14;32.53;35.01;37.08;38.31;37.55;37.32;36.86;37.49;34.32;33.61;34.86;34.65;30.31
qat;residential_energy_use_percent;;;;;;;;;;;;0.9164;1.018;0.8602;1.2990000000000002;0.6035;1.014;1.038;1.253;0.6645;3.938;0.1691;1.588;0.3972;0.3114;5.974;4.025;4.873;4.519;7.559;7.355;8.244;8.526;9.818999999999999;8.58;7.817;8.836;8.649;9.555;8.485;6.672000000000001;5.846;5.001;3.975;3.072;3.906;4.371;4.447;4.238;4.16;3.6489999999999996
rou;residential_energy_use_percent;;;;;;;;;;;;21.33;26.3;25.56;26.42;23.21;16.88;15.6;14.33;13.09;13.12;14.34;14.21;14.16;14.22;20.74;21.14;20.36;20.87;21.3;24.11;20.11;21.74;25.2;24.7;23.57;26.8;32.81;35.72;37.27;35.41;30.3;30.29;31.67;31.26;30.67;30.03;29.23;30.35;33.87;34.32
rus;residential_energy_use_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.36;12.61;13.11;30.56;32.6;31.94;32.63;33.73;33.85;33.49;33.49;34.07;32.73;33.07;32.1;26.81;27.06;26.25;26.2;26.16;25.0
sau;residential_energy_use_percent;;;;;;;;;;;;9.53;9.465;8.161;7.815;7.565;6.843;5.046;3.3310000000000004;2.4419999999999997;2.372;1.8659999999999999;2.01;5.466;7.037999999999999;8.437000000000001;7.925;7.994;7.917000000000001;8.457;9.54;9.804;9.451;10.12;10.03;10.95;10.18;10.68;10.84;10.9;11.02;11.27;10.98;11.36;10.62;11.0;10.94;10.74;10.47;10.24;10.29
sdn;residential_energy_use_percent;;;;;;;;;;;;57.45;55.64;51.58;51.85;56.46;56.8;56.6;58.27;58.3;56.82;57.61;57.34;57.91;58.78;57.33;58.13;61.45;56.92;58.15;54.54;56.67;57.56;63.44;59.2;61.04;60.38;57.73;58.21;58.78;58.18;57.6;57.45;56.0;54.61;55.24;51.59;48.98;48.26;47.73;47.69
sen;residential_energy_use_percent;;;;;;;;;;;;64.93;63.28;61.13;59.62;62.53;58.24;55.87;58.92;56.83;54.93;56.12;56.82;57.92;56.02;57.0;58.62;59.27;62.39;61.05;60.06;60.27;58.94;60.91;60.9;59.68;59.79;58.57;57.02;55.27;57.6;56.19;54.23;55.17;50.71;52.35;54.72;49.55;47.21;50.3;50.05
sgp;residential_energy_use_percent;;;;;;;;;;;;14.46;11.27;9.95;8.523;8.789;8.297;8.099;8.564;8.922;9.041;8.426;8.229;8.386000000000001;7.487;6.187;6.847;6.167000000000001;6.39;6.251;5.569;6.374;5.821000000000001;6.082000000000001;6.206;5.278;5.375;4.552;5.32;4.958;5.619;5.438;5.729;4.7010000000000005;4.0889999999999995;3.9930000000000003;3.7430000000000003;3.6710000000000003;3.495;3.165;2.8510000000000004
slv;residential_energy_use_percent;;;;;;;;;;;;70.13;69.23;67.67;67.43;66.67;65.62;64.18;62.83;63.38;65.58;67.58;67.88;67.44;66.95;66.52;60.78;54.08;50.32;50.07;49.51;47.8;47.38;46.91;46.54;45.53;45.87;45.58;44.56;43.14;43.41;43.38;43.03;43.81;44.44;43.44;44.78;31.52;33.8;28.94;29.72
srb;residential_energy_use_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24.18;26.67;30.99;41.63;42.99;41.41;32.44;30.07;31.09;37.95;43.69;38.14;35.82;34.4;29.16;31.8;28.25;31.35;28.65;34.36;32.18
svk;residential_energy_use_percent;;;;;;;;;;;;6.636;6.735;6.67;7.08;7.16;7.465;7.64;7.608;7.872999999999999;8.827;9.132;9.801;9.941;10.37;10.67;11.29;11.41;11.2;12.66;14.26;14.13;14.24;15.42;16.38;18.02;19.17;20.32;21.39;22.83;22.64;26.09;25.14;24.96;23.61;21.69;20.28;18.04;18.04;19.82;20.2
svn;residential_energy_use_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25.71;30.48;29.67;30.01;28.05;27.81;22.42;23.0;22.55;22.72;24.2;23.38;24.47;25.34;24.39;22.98;22.11;20.28;20.28;24.25;24.79
swe;residential_energy_use_percent;23.03;22.64;24.41;24.9;23.97;24.89;25.15;24.29;24.69;24.58;31.4;31.23;31.5;30.85;26.88;29.26;30.09;29.98;29.83;29.45;28.18;29.14;27.71;26.06;28.68;30.46;24.55;23.83;22.2;21.39;20.37;22.24;22.94;23.22;22.94;21.6;22.22;21.92;21.7;20.84;20.66;21.37;20.64;21.13;20.55;21.14;20.46;19.56;19.96;21.8;21.45
syr;residential_energy_use_percent;;;;;;;;;;;;18.5;20.81;19.45;10.9;13.32;12.71;13.52;11.15;11.09;12.53;13.93;12.71;11.78;11.28;11.54;11.97;10.58;11.3;19.21;15.28;14.61;16.19;16.46;17.34;17.15;18.0;17.8;15.81;17.45;18.76;20.22;19.61;16.87;20.01;21.36;21.9;20.87;21.44;23.05;21.22
tgo;residential_energy_use_percent;;;;;;;;;;;;75.14;74.91;75.69;76.13;73.32;76.1;73.5;73.96;71.79;71.83;72.21;70.78;76.29;78.31;76.47;70.84;70.13;71.41;71.52;70.32;72.0;74.83;79.06;71.73;70.78;63.81;70.42;69.7;67.14;71.12;74.41;71.5;69.58;70.13;72.29;73.31;73.14;69.44;69.26;69.14
tha;residential_energy_use_percent;;;;;;;;;;;;36.89;37.08;35.77;35.7;45.78;42.79;40.51;40.48;38.08;39.45;38.71;38.11;27.48;27.37;29.96;31.53;31.08;28.68;27.12;26.1;25.77;23.43;20.95;18.4;16.06;14.17;14.33;15.91;15.04;15.18;15.18;13.88;13.22;13.14;13.18;13.01;13.59;13.93;13.34;13.34
tjk;residential_energy_use_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.388;2.115;2.853;4.393;7.125;8.951;9.258;11.49;13.21;14.98;15.53;13.93;15.73;14.21;13.5;13.99;13.6;12.52;12.64;12.67;12.92
tkm;residential_energy_use_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.7115;0.8381;1.125;1.511;1.044;1.03;1.089;0.8926;1.217;0.9684;1.319;1.386;1.3840000000000001;1.18;1.278;1.337;1.3619999999999999;1.209;1.272;1.4369999999999998;1.3619999999999999
tto;residential_energy_use_percent;;;;;;;;;;;;8.884;8.168;7.937;7.281000000000001;7.827000000000001;8.462;7.251;6.502000000000001;6.474;6.7620000000000005;8.016;5.393;5.345;5.523;5.021;5.159;4.512;4.869;3.8689999999999998;3.813;3.832;4.052;3.448;3.0589999999999997;3.1910000000000003;2.562;2.4659999999999997;2.225;2.5869999999999997;3.6460000000000004;3.347;3.515;3.415;3.072;2.436;2.548;2.572;2.7460000000000004;3.161;2.373
tun;residential_energy_use_percent;;;;;;;;;;;;36.02;35.12;34.3;33.52;32.8;33.0;31.47;31.03;29.05;28.58;28.76;30.76;28.77;28.95;28.88;30.31;31.85;30.99;29.14;28.03;29.38;28.71;28.42;28.67;29.36;29.39;29.7;29.71;29.65;28.04;28.32;29.06;28.04;27.9;27.89;27.82;27.74;27.42;27.92;26.92
tur;residential_energy_use_percent;72.24;70.96;68.72;66.64;65.78;63.64;60.91;59.89;59.63;58.93;56.72;54.43;52.74;50.74;50.38;47.23;45.9;43.84;44.07;45.8;46.39;45.37;45.3;44.99;43.34;43.66;42.8;40.75;40.02;39.34;36.27;36.32;36.95;34.21;34.3;33.71;31.93;32.38;31.65;32.84;30.42;31.31;29.1;28.87;28.62;29.51;27.45;27.1;30.39;29.25;28.93
twn;residential_energy_use_percent;;;;;;;;;;;;7.247999999999999;7.675;8.277000000000001;9.139;9.488;9.221;9.112;8.868;8.788;8.527000000000001;9.317;9.606;9.66;10.19;10.66;10.51;10.33;10.36;10.66;10.32;10.21;10.09;10.08;9.974;10.1;10.29;10.16;10.77;10.68;10.38;9.609;9.38;9.158;8.919;9.302999999999999;9.101;8.615;8.837;8.922;8.338
tza;residential_energy_use_percent;;;;;;;;;;;;77.31;76.91;76.68;77.25;77.5;77.18;77.57;77.45;77.24;77.52;77.6;77.88;77.9;78.03;77.85;78.13;78.11;78.16;78.17;78.08;78.15;78.21;78.04;78.12;77.55;77.13;78.45;77.05;78.09;77.97;77.11;76.23;75.94;75.26;74.2;73.67;73.23;72.63;72.88;72.41
ukr;residential_energy_use_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22.07;20.25;24.53;29.03;32.85;32.63;36.11;33.27;32.5;34.26;33.8;31.88;32.13;31.96;29.04;29.26;30.92;28.0;29.68;25.58;34.18
ury;residential_energy_use_percent;;;;;;;;;;;;32.91;32.59;32.65;33.49;31.62;31.26;30.33;30.05;28.56;28.47;30.18;33.14;33.42;33.29;34.33;33.35;32.42;31.5;30.32;30.88;30.24;29.86;29.76;28.99;29.51;28.37;26.74;26.63;26.89;29.52;29.62;30.82;30.17;28.67;28.55;28.58;28.02;23.1;22.63;21.2
usa;residential_energy_use_percent;18.3;18.86;19.16;18.64;18.22;18.32;18.14;17.6;17.44;18.03;18.92;18.97;19.06;18.06;17.95;18.69;18.54;17.77;17.61;16.53;16.44;16.03;16.8;16.63;16.36;16.27;16.27;16.04;16.31;17.15;16.23;16.76;16.85;18.51;17.89;17.98;18.43;17.51;16.95;16.95;17.08;16.99;17.08;17.51;16.88;17.31;16.21;16.9;17.41;17.99;17.88
uzb;residential_energy_use_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.8714;0.9907;1.65;1.8619999999999999;1.72;33.69;40.09;40.09;39.63;39.62;40.07;40.31;40.77;40.39;40.91;42.44;42.55;43.16;41.56;39.21;39.61
ven;residential_energy_use_percent;;;;;;;;;;;;14.26;13.09;12.62;11.91;12.03;11.28;10.64;11.21;10.57;10.08;11.72;11.47;12.52;12.01;12.95;10.67;10.47;10.66;11.38;9.871;8.267999999999999;9.757;8.964;8.525;8.397;8.434;8.144;8.02;10.84;10.59;10.47;10.42;10.25;10.82;10.91;9.689;12.25;11.8;11.69;10.35
vnm;residential_energy_use_percent;;;;;;;;;;;;48.58;49.43;48.38;52.87;51.08;59.22;58.68;58.4;57.52;60.85;61.41;60.87;59.5;60.0;60.56;59.52;58.25;59.92;61.27;59.34;59.52;57.89;55.72;53.86;51.42;49.98;49.27;49.06;48.63;48.15;46.8;44.64;44.44;41.48;40.44;40.13;37.92;36.2;34.49;33.02
yem;residential_energy_use_percent;;;;;;;;;;;;17.94;14.54;11.12;12.64;24.54;12.99;14.44;15.46;14.89;16.77;15.54;19.65;18.67;19.84;22.3;16.88;17.36;18.57;20.23;16.63;17.24;19.53;24.44;26.51;24.42;25.28;26.1;24.73;21.23;21.9;21.9;23.82;22.4;21.77;19.75;20.18;20.27;19.35;20.11;19.49
zaf;residential_energy_use_percent;;;;;;;;;;;;21.13;20.9;20.01;20.71;20.31;19.31;18.16;18.41;18.77;17.6;16.34;17.08;17.82;17.99;18.65;18.67;19.01;18.7;19.57;20.32;21.06;21.54;23.46;22.94;21.63;21.07;20.81;20.13;20.74;20.44;23.55;22.78;23.02;23.79;24.25;25.38;24.66;24.69;24.5;23.99
zmb;residential_energy_use_percent;;;;;;;;;;;;48.59;47.1;46.08;46.31;46.42;46.87;49.67;50.9;52.6;52.69;53.93;55.03;55.88;56.4;57.31;58.43;58.9;58.03;58.75;61.88;61.54;61.73;63.72;65.18;65.96;68.05;67.16;68.14;69.48;69.36;69.01;68.71;68.33;68.25;67.86;68.04;71.13;71.52;72.13;71.31
zwe;residential_energy_use_percent;;;;;;;;;;;;59.39;59.39;56.49;59.94;57.96;58.0;59.6;60.28;60.61;57.65;57.15;58.27;58.32;60.62;60.65;60.51;60.2;60.92;61.62;57.97;58.77;59.37;60.39;63.74;61.95;61.51;62.19;62.73;58.73;63.59;68.3;68.62;68.26;73.08;71.31;71.93;72.16;74.25;73.86;73.23
