geo;indicator;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
bol;residential_energy_use_percent;;;;;;;;;;;;31.69;29.99;30.43;30.48;27.54;26.56;26.5;26.27;26.74;43.84;44.9;48.94;46.39;49.11;50.16;52.28;45.25;46.42;41.99;39.38;38.26;38.36;36.28;35.0;32.94;29.65;29.92;28.32;26.99;23.52;22.93;23.01;22.62;21.99;22.38;21.27;20.85;24.06;23.6;24.03
bra;residential_energy_use_percent;;;;;;;;;;;;35.58;33.5;30.69;28.86;27.65;25.94;24.75;22.98;21.95;21.79;22.49;20.86;20.12;19.73;18.21;16.65;16.94;16.62;16.19;16.17;16.2;16.15;15.15;14.37;13.96;13.7;13.33;13.33;13.37;13.49;13.2;13.11;13.07;12.66;12.71;12.46;11.87;11.68;12.17;11.23
brn;residential_energy_use_percent;;;;;;;;;;;;13.14;14.02;13.11;12.17;12.49;11.06;11.62;11.17;9.626;8.591000000000001;10.76;11.54;11.15;12.17;12.17;11.76;12.76;12.92;12.67;12.88;12.54;11.93;12.04;12.23;11.45;10.99;11.09;11.22;11.38;11.72;11.57;9.762;9.77;8.716000000000001;7.945;3.779;4.776;9.333;9.026;8.352
bwa;residential_energy_use_percent;;;;;;;;;;;;;;;;;;;;;;58.03;58.25;58.18;57.54;57.23;56.38;54.75;56.68;55.74;49.8;49.88;46.15;47.17;50.43;48.83;47.78;47.11;39.64;43.32;38.98;40.63;39.36;39.13;37.04;35.55;34.87;31.98;31.32;32.52;31.52
can;residential_energy_use_percent;29.36;29.11;29.14;28.49;27.5;26.53;25.26;24.49;23.92;23.48;22.7;22.37;21.87;19.37;19.35;20.29;20.61;19.23;19.01;18.5;18.24;17.6;19.34;17.9;17.87;17.99;17.86;17.01;17.37;18.03;18.05;17.91;18.05;18.17;17.89;17.2;17.82;16.9;15.85;15.87;16.27;16.16;16.24;16.29;15.65;15.34;15.17;15.68;16.3;16.83;15.81
che;residential_energy_use_percent;23.4;20.5;19.62;18.58;15.58;14.34;12.88;11.81;10.41;9.168;8.232999999999999;8.022;7.487;7.609;7.707999999999999;8.093;8.017000000000001;7.834;32.35;32.42;32.47;32.07;32.23;30.36;31.67;29.68;30.36;30.33;29.83;29.13;28.25;28.62;28.8;31.32;30.72;32.02;31.87;30.44;30.93;29.58;28.49;29.25;29.13;29.82;29.72;30.1;29.51;28.12;29.1;29.6;30.69
chl;residential_energy_use_percent;;;;;;;;;;;;30.11;31.22;32.47;31.37;33.79;33.62;33.14;31.4;30.81;29.96;30.0;32.45;30.59;30.03;30.44;30.69;31.39;29.6;28.05;28.14;27.85;27.0;27.65;27.55;26.99;25.74;24.96;24.75;24.2;23.85;24.74;24.1;23.39;23.13;22.42;21.59;22.2;22.12;22.65;22.24
chn;residential_energy_use_percent;;;;;;;;;;;;57.07;56.18;55.66;54.91;52.8;51.88;49.87;48.22;48.65;48.8;49.7;48.91;48.11;46.59;47.33;46.21;44.94;44.18;43.85;44.22;43.19;41.86;40.37;38.69;37.6;37.03;36.97;35.03;36.51;36.72;36.59;35.44;33.3;30.21;28.73;27.32;26.27;24.89;24.47;23.47
civ;residential_energy_use_percent;;;;;;;;;;;;55.5;53.66;55.8;54.4;53.23;52.15;54.01;53.26;53.66;53.94;55.59;57.06;57.43;61.77;62.4;61.07;60.31;61.54;61.61;64.24;64.8;66.25;67.08;67.6;65.87;66.11;65.24;66.71;56.41;57.93;58.33;59.78;64.26;69.78;72.67;70.02;70.21;69.11;68.54;71.15
cmr;residential_energy_use_percent;;;;;;;;;;;;73.84;73.44;73.49;73.27;72.32;73.2;70.84;70.71;70.6;70.77;70.07;68.83;67.84;67.35;66.91;67.77;68.04;67.65;68.5;69.31;70.63;70.67;70.17;70.54;71.26;71.47;71.21;71.39;72.29;71.73;71.85;71.34;71.32;70.83;71.2;77.29;72.24;71.77;70.61;69.97
