geo;indicator;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
bhr;gdpperworking_hour_us_inflation_adjusted;47536.852;49073.664000000004;53330.242;51033.414000000004;50909.187999999995;51727.280999999995;51837.691;52622.379;52759.555;52903.742;50793.715;50028.043;49504.551;48877.594000000005;46952.367;44691.015999999996;43135.437999999995;41064.781;38275.77;36418.0;36512.215;37207.918;38830.324;39933.625;40044.68;43472.426;43313.48;43322.605;43614.387;44037.934;45090.09;46237.348
bhs;gdpperworking_hour_us_inflation_adjusted;50255.398;48248.957;45891.137;46639.793;46014.922;47548.379;46816.27;47025.77;49313.655999999995;50232.172;49805.015999999996;50744.155999999995;49540.762;48082.734000000004;48160.210999999996;46731.09;46316.457;44183.234000000004;44100.117;43561.727;43097.219000000005;43254.562000000005;43501.598;41346.434;39253.187999999995;39149.918;38950.883;39215.738;39179.934;39221.902;39409.664;39645.559
bih;gdpperworking_hour_us_inflation_adjusted;2300.317;2252.5589999999997;2323.576;2257.601;2844.778;5399.133000000001;7390.516;8673.526;9652.758;10263.401;10823.613000000001;11442.23;11974.957;12747.158000000001;13977.598;14955.786;15320.521999999999;14999.321000000002;14755.256000000001;15594.117;16020.007;16194.712;16690.736;17143.002;17551.65;17663.15;18554.82;19307.145;20080.818;20887.557;21743.746;22635.615
blr;gdpperworking_hour_us_inflation_adjusted;6706.981;6057.371;5603.1230000000005;4944.9890000000005;4422.965999999999;4547.534000000001;5061.139;5474.972;5644.05;5918.25;6156.735;6425.581999999999;6832.251;7564.719;8218.903;8997.972;9715.499;10638.443000000001;10596.226;11391.383999999998;11928.889;12097.662;12190.329;12397.229;11939.143;11675.471000000001;12494.66;12738.332;13033.419;13406.348;13827.76;14294.091
blz;gdpperworking_hour_us_inflation_adjusted;9677.956;10825.543;11803.53;11739.326000000001;11614.921999999999;11444.465;11100.36;11121.386999999999;11297.928999999998;11919.388;11718.871000000001;11932.865;12553.663999999999;12643.645;12505.694;12246.329;11699.931;11492.059;11292.513;11336.325;11243.223;11367.552;10954.39;11165.343;11007.392;10320.966999999999;10151.913;10255.87;10354.742;10436.399;10518.062;10591.866000000002
bol;gdpperworking_hour_us_inflation_adjusted;3680.989;3636.259;3705.343;3656.723;3737.8979999999997;3853.211;3799.32;3911.0440000000003;3886.69;3898.466;3885.9559999999997;3865.888;3833.04;3855.429;3944.059;3992.123;4167.717000000001;4201.661;4257.483;4324.088;4443.5109999999995;4751.029;4949.607;4943.124;5450.66;5540.876;5671.463000000001;5795.9169999999995;5918.1990000000005;6021.229;6128.4980000000005;6237.911999999999
bra;gdpperworking_hour_us_inflation_adjusted;21822.529;20277.613;20546.779;22085.908;21317.361;21368.105;21687.533;21437.787;21111.076;22458.84;21075.007999999998;20952.85;20885.275;21224.707000000002;21526.092;21678.438;22664.52;23741.197;22994.549;24772.801;25346.818;25683.02;26042.647999999997;25808.92;24895.77;24642.029;25026.667999999998;25223.965;25747.836;26195.1;26691.451;27204.092
brb;gdpperworking_hour_us_inflation_adjusted;33181.336;30688.729;31122.246;30705.617000000002;29555.941000000003;29091.336;30266.468999999997;30487.354;29891.672000000002;30730.062;29924.477000000003;30107.752;30802.596;30353.068;31176.051;32718.688;32740.132999999998;33011.082;32323.992000000002;32703.397999999997;32982.625;33633.184;33135.055;34346.68;33983.855;33410.41;33817.496;34332.16;34918.348;35563.582;36271.527;37032.398
brn;gdpperworking_hour_us_inflation_adjusted;91212.445;92377.79699999999;89414.273;88997.023;89630.18800000001;89388.195;85179.31199999999;81833.109;81403.055;80736.516;81021.93;82191.93;82504.297;80839.227;79169.82;81446.836;80246.477;77362.414;74638.695;75148.266;76107.125;75016.078;71779.469;69440.07;67963.141;65609.727;74435.586;75309.641;76500.75;77863.578;79205.586;80120.695
btn;gdpperworking_hour_us_inflation_adjusted;2225.565;2370.335;2467.993;2638.255;2854.16;2946.934;3005.1279999999997;3053.446;3142.3140000000003;3198.413;3242.825;3350.5440000000003;3369.658;3376.08;3441.697;3517.3759999999997;4010.579;4060.698;4202.794;4648.858;5011.567;5253.98;5233.751;5535.948;5567.411999999999;5801.581999999999;6368.286999999999;6923.765;7250.941999999999;7573.571;7889.003000000001;8136.084
