geo;indicator;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
bfa;mean_years_in_school_women_25_to_34_years;0.36;0.37;0.39;0.4;0.42;0.43;0.45;0.46;0.48;0.5;0.52;0.54;0.56;0.58;0.6;0.62;0.65;0.67;0.7;0.72;0.75;0.78;0.81;0.84;0.88;0.91;0.95;0.99;1.03;1.07;1.11;1.15;1.19;1.24;1.29;1.33;1.38;1.43;1.48;1.53;1.58;1.64;1.69;1.75;1.8;1.86
bgd;mean_years_in_school_women_25_to_34_years;1.14;1.18;1.22;1.26;1.31;1.35;1.4;1.45;1.5;1.55;1.61;1.67;1.73;1.79;1.85;1.92;1.99;2.06;2.14;2.21;2.3;2.38;2.47;2.56;2.65;2.75;2.85;2.95;3.06;3.16;3.27;3.38;3.49;3.6;3.72;3.84;3.96;4.08;4.2;4.32;4.45;4.58;4.7;4.83;4.96;5.09
bgr;mean_years_in_school_women_25_to_34_years;8.06;8.21;8.36;8.51;8.66;8.8;8.95;9.09;9.23;9.37;9.51;9.65;9.78;9.91;10.03;10.15;10.27;10.39;10.5;10.6;10.7;10.8;10.89;10.98;11.07;11.15;11.25;11.36;11.47;11.58;11.69;11.81;11.93;12.06;12.18;12.31;12.43;12.56;12.69;12.82;12.96;13.09;13.22;13.36;13.49;13.62
bhr;mean_years_in_school_women_25_to_34_years;3.26;3.38;3.5;3.63;3.76;3.89;4.03;4.17;4.32;4.47;4.63;4.79;4.95;5.13;5.3;5.48;5.67;5.86;6.05;6.25;6.46;6.67;6.88;7.1;7.32;7.54;7.7;7.85;8.0;8.15;8.3;8.45;8.59;8.74;8.89;9.04;9.18;9.33;9.48;9.63;9.78;9.93;10.08;10.23;10.38;10.53
bhs;mean_years_in_school_women_25_to_34_years;6.39;6.54;6.69;6.84;6.99;7.15;7.3;7.46;7.62;7.78;7.94;8.11;8.27;8.43;8.6;8.77;8.93;9.1;9.27;9.44;9.61;9.77;9.94;10.11;10.28;10.45;10.62;10.78;10.95;11.12;11.28;11.45;11.61;11.78;11.94;12.1;12.26;12.42;12.57;12.73;12.89;13.04;13.19;13.34;13.49;13.64
bih;mean_years_in_school_women_25_to_34_years;4.37;4.48;4.6;4.72;4.84;4.96;5.09;5.21;5.34;5.47;5.61;5.74;5.88;6.02;6.16;6.3;6.44;6.59;6.74;6.89;7.04;7.19;7.35;7.51;7.66;7.82;7.99;8.16;8.33;8.5;8.67;8.84;9.02;9.19;9.37;9.54;9.72;9.9;10.07;10.25;10.43;10.61;10.78;10.96;11.13;11.3
blr;mean_years_in_school_women_25_to_34_years;7.48;7.64;7.8;7.96;8.12;8.28;8.44;8.6;8.77;8.93;9.1;9.26;9.43;9.59;9.76;9.93;10.09;10.26;10.42;10.59;10.75;10.92;11.08;11.25;11.41;11.58;11.76;11.94;12.12;12.29;12.47;12.64;12.81;12.98;13.15;13.32;13.49;13.65;13.81;13.97;14.13;14.28;14.43;14.58;14.72;14.86
blz;mean_years_in_school_women_25_to_34_years;3.54;3.64;3.74;3.84;3.94;4.05;4.16;4.27;4.39;4.5;4.62;4.74;4.86;4.99;5.11;5.24;5.37;5.5;5.64;5.77;5.91;6.05;6.19;6.33;6.48;6.63;6.77;6.91;7.06;7.21;7.36;7.51;7.67;7.82;7.98;8.14;8.3;8.46;8.62;8.78;8.95;9.11;9.28;9.44;9.61;9.78
bol;mean_years_in_school_women_25_to_34_years;3.39;3.49;3.59;3.7;3.8;3.91;4.03;4.14;4.26;4.38;4.5;4.63;4.76;4.89;5.02;5.16;5.3;5.44;5.58;5.72;5.87;6.02;6.17;6.33;6.48;6.64;6.79;6.94;7.1;7.25;7.41;7.57;7.72;7.88;8.05;8.21;8.37;8.53;8.7;8.86;9.03;9.19;9.36;9.52;9.69;9.86
bra;mean_years_in_school_women_25_to_34_years;3.33;3.43;3.53;3.63;3.73;3.84;3.95;4.06;4.17;4.29;4.41;4.53;4.65;4.78;4.91;5.04;5.17;5.31;5.44;5.58;5.72;5.87;6.01;6.16;6.31;6.46;6.6;6.75;6.9;7.05;7.2;7.36;7.51;7.67;7.82;7.98;8.14;8.3;8.46;8.62;8.78;8.95;9.11;9.27;9.44;9.6
brb;mean_years_in_school_women_25_to_34_years;4.33;4.44;4.56;4.68;4.8;4.93;5.05;5.18;5.31;5.44;5.58;5.71;5.85;5.99;6.14;6.28;6.43;6.58;6.73;6.88;7.03;7.19;7.34;7.5;7.66;7.82;7.98;8.14;8.31;8.47;8.64;8.8;8.97;9.13;9.3;9.47;9.64;9.81;9.98;10.14;10.31;10.48;10.65;10.82;10.98;11.15
brn;mean_years_in_school_women_25_to_34_years;7.36;7.52;7.68;7.84;8.0;8.16;8.32;8.49;8.65;8.82;8.99;9.15;9.32;9.49;9.66;9.82;9.99;10.16;10.33;10.5;10.67;10.83;11.0;11.17;11.33;11.5;11.66;11.83;11.99;12.15;12.31;12.47;12.63;12.79;12.94;13.1;13.25;13.4;13.55;13.7;13.84;13.98;14.13;14.26;14.4;14.54
btn;mean_years_in_school_women_25_to_34_years;0.8;0.82;0.85;0.88;0.91;0.94;0.97;1.0;1.03;1.07;1.1;1.14;1.18;1.21;1.25;1.3;1.34;1.38;1.43;1.47;1.52;1.57;1.62;1.67;1.73;1.78;1.84;1.89;1.95;2.01;2.08;2.14;2.21;2.27;2.34;2.41;2.49;2.56;2.64;2.72;2.8;2.88;2.97;3.05;3.14;3.23
bwa;mean_years_in_school_women_25_to_34_years;2.36;2.44;2.53;2.61;2.7;2.8;2.9;3.0;3.1;3.21;3.32;3.44;3.56;3.68;3.81;3.95;4.09;4.23;4.38;4.54;4.7;4.87;5.04;5.22;5.4;5.59;5.73;5.87;6.02;6.17;6.32;6.47;6.62;6.77;6.93;7.08;7.24;7.4;7.56;7.72;7.88;8.05;8.21;8.38;8.54;8.71
caf;mean_years_in_school_women_25_to_34_years;1.13;1.17;1.2;1.24;1.28;1.32;1.36;1.41;1.45;1.5;1.54;1.59;1.64;1.69;1.75;1.8;1.86;1.91;1.97;2.03;2.1;2.16;2.22;2.29;2.36;2.43;2.5;2.58;2.65;2.73;2.81;2.9;2.98;3.07;3.15;3.25;3.34;3.43;3.53;3.63;3.73;3.84;3.94;4.05;4.16;4.27
can;mean_years_in_school_women_25_to_34_years;9.89;10.09;10.28;10.47;10.66;10.84;11.03;11.2;11.38;11.54;11.71;11.87;12.02;12.17;12.31;12.45;12.58;12.71;12.83;12.95;13.07;13.18;13.28;13.39;13.49;13.58;13.68;13.78;13.87;13.97;14.07;14.17;14.27;14.38;14.48;14.58;14.69;14.79;14.9;15.0;15.11;15.22;15.33;15.43;15.54;15.65
