geo;indicator;2012;2013;2014;2015;2016;2017
ita;corruption_perception_index_cpi;42.0;43.0;43.0;44.0;47.0;50.0
jam;corruption_perception_index_cpi;38.0;38.0;38.0;41.0;39.0;44.0
jor;corruption_perception_index_cpi;48.0;45.0;49.0;53.0;48.0;48.0
jpn;corruption_perception_index_cpi;74.0;74.0;76.0;75.0;72.0;73.0
kaz;corruption_perception_index_cpi;28.0;26.0;29.0;28.0;29.0;31.0
ken;corruption_perception_index_cpi;27.0;27.0;25.0;25.0;26.0;28.0
kgz;corruption_perception_index_cpi;24.0;24.0;27.0;28.0;28.0;29.0
khm;corruption_perception_index_cpi;22.0;20.0;21.0;21.0;21.0;21.0
kor;corruption_perception_index_cpi;56.0;55.0;55.0;54.0;53.0;54.0
kos;corruption_perception_index_cpi;34.0;33.0;33.0;33.0;36.0;39.0
kwt;corruption_perception_index_cpi;44.0;43.0;44.0;49.0;41.0;39.0
lao;corruption_perception_index_cpi;21.0;26.0;25.0;25.0;30.0;29.0
lbn;corruption_perception_index_cpi;30.0;28.0;27.0;28.0;28.0;28.0
lbr;corruption_perception_index_cpi;41.0;38.0;37.0;37.0;37.0;31.0
lby;corruption_perception_index_cpi;21.0;15.0;18.0;16.0;14.0;17.0
lca;corruption_perception_index_cpi;71.0;71.0;71.0;;60.0;55.0
lka;corruption_perception_index_cpi;40.0;37.0;38.0;37.0;36.0;38.0
lso;corruption_perception_index_cpi;45.0;49.0;49.0;44.0;39.0;42.0
ltu;corruption_perception_index_cpi;54.0;57.0;58.0;59.0;59.0;59.0
lux;corruption_perception_index_cpi;80.0;80.0;82.0;85.0;81.0;82.0
lva;corruption_perception_index_cpi;49.0;53.0;55.0;56.0;57.0;58.0
mar;corruption_perception_index_cpi;37.0;37.0;39.0;36.0;37.0;40.0
mda;corruption_perception_index_cpi;36.0;35.0;35.0;33.0;30.0;31.0
mdg;corruption_perception_index_cpi;32.0;28.0;28.0;28.0;26.0;24.0
mdv;corruption_perception_index_cpi;;;;;36.0;33.0
mex;corruption_perception_index_cpi;34.0;34.0;35.0;31.0;30.0;29.0
mkd;corruption_perception_index_cpi;43.0;44.0;45.0;42.0;37.0;35.0
mli;corruption_perception_index_cpi;34.0;28.0;32.0;35.0;32.0;31.0
mlt;corruption_perception_index_cpi;57.0;56.0;55.0;60.0;55.0;56.0
mmr;corruption_perception_index_cpi;15.0;21.0;21.0;22.0;28.0;30.0
mne;corruption_perception_index_cpi;41.0;44.0;42.0;44.0;45.0;46.0
mng;corruption_perception_index_cpi;36.0;38.0;39.0;39.0;38.0;36.0
moz;corruption_perception_index_cpi;31.0;30.0;31.0;31.0;27.0;25.0
mrt;corruption_perception_index_cpi;31.0;30.0;30.0;31.0;27.0;28.0
mus;corruption_perception_index_cpi;57.0;52.0;54.0;53.0;54.0;50.0
mwi;corruption_perception_index_cpi;37.0;37.0;33.0;31.0;31.0;31.0
mys;corruption_perception_index_cpi;49.0;50.0;52.0;50.0;49.0;47.0
nam;corruption_perception_index_cpi;48.0;48.0;49.0;53.0;52.0;51.0
ner;corruption_perception_index_cpi;33.0;34.0;35.0;34.0;35.0;33.0
nga;corruption_perception_index_cpi;27.0;25.0;27.0;26.0;28.0;27.0
nic;corruption_perception_index_cpi;29.0;28.0;28.0;27.0;26.0;26.0
nld;corruption_perception_index_cpi;84.0;83.0;83.0;84.0;83.0;82.0
nor;corruption_perception_index_cpi;85.0;86.0;86.0;88.0;85.0;85.0
npl;corruption_perception_index_cpi;27.0;31.0;29.0;27.0;29.0;31.0
nzl;corruption_perception_index_cpi;90.0;91.0;91.0;91.0;90.0;89.0
omn;corruption_perception_index_cpi;47.0;47.0;45.0;45.0;45.0;44.0
pak;corruption_perception_index_cpi;27.0;28.0;29.0;30.0;32.0;32.0
pan;corruption_perception_index_cpi;38.0;35.0;37.0;39.0;38.0;37.0
per;corruption_perception_index_cpi;38.0;38.0;38.0;36.0;35.0;37.0
phl;corruption_perception_index_cpi;34.0;36.0;38.0;35.0;35.0;34.0
png;corruption_perception_index_cpi;25.0;25.0;25.0;25.0;28.0;29.0
pol;corruption_perception_index_cpi;58.0;60.0;61.0;63.0;62.0;60.0
pri;corruption_perception_index_cpi;63.0;62.0;63.0;;;
prk;corruption_perception_index_cpi;8.0;8.0;8.0;8.0;12.0;17.0
prt;corruption_perception_index_cpi;63.0;62.0;63.0;64.0;62.0;63.0
pry;corruption_perception_index_cpi;25.0;24.0;24.0;27.0;30.0;29.0
qat;corruption_perception_index_cpi;68.0;68.0;69.0;71.0;61.0;63.0
rou;corruption_perception_index_cpi;44.0;43.0;43.0;46.0;48.0;48.0
rus;corruption_perception_index_cpi;28.0;28.0;27.0;29.0;29.0;29.0
