blz;data_quality_population;;;;;;;;;;;;5.0;;;;;;;;;;;;;;;;;2.0;;;2.0;;;;;;2.0;;;;;;;;;;2.0;;;;;;;;;;2.0;;;;;;;;;;2.0;;;;;;;;2.0;;;;;2.0;;;;;;;;;;2.0;;;;;;;;
bmu;data_quality_population;;;;;;;;;;;;;;;;;;;;;;2.0;;;2.0;;;;2.0;;;2.0;;;;;;2.0;;;;;;;;;;2.0;;;;;;;;;;2.0;;;;;;;;;;2.0;;;;;;;;2.0;;;;;2.0;;;;2.0;;;;;;;;;;;;;;
bol;data_quality_population;;;;;;;;;;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bra;data_quality_population;4.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
brb;data_quality_population;;;;;;;;;;;;5.0;;;;;;;;;;;;;2.0;;;;2.0;;;2.0;;;;;;2.0;;;;;;;;;;2.0;;;;;;;;;;2.0;;;;;;;;;;2.0;;;;;;;;2.0;;;;;;;;;;;;;;;2.0;;;;;;;;
brn;data_quality_population;;;;;;;;;;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;;2.0;;;;;2.0;;;;;;;;;;;2.0;;;;;;;
btn;data_quality_population;;;;;;;;;;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bwa;data_quality_population;;;;;;;;;;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;2.0;;;;;;;;2.0;;;;;;;;2.0;;;;;;;3.0;;;;;;;;
caf;data_quality_population;;;;;;;;;;;;5.0;;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;
cck;data_quality_population;2.0;;;;;;;;;;;;;;;2.0;;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
chanisl;data_quality_population;;;;;;;;;;;;5.0;;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
