星期,營運日,總 運 量 (單位：人次)
二,2018-07-17,2165973.0
三,2018-07-18,2183304.0
四,2018-07-19,2184948.0
五,2018-07-20,2324540.0
六,2018-07-21,1898282.0
日,2018-07-22,1642737.0
一,2018-07-23,2095004.0
二,2018-07-24,2117995.0
三,2018-07-25,2159663.0
四,2018-07-26,2180673.0
五,2018-07-27,2297693.0
六,2018-07-28,1989618.0
日,2018-07-29,1684469.0
一,2018-07-30,2082427.0
二,2018-07-31,2141941.0
六,2018-09-01,1876143.0
日,2018-09-02,1593331.0
一,2018-09-03,2103229.0
二,2018-09-04,2106183.0
三,2018-09-05,2134851.0
四,2018-09-06,2163596.0
五,2018-09-07,2306418.0
六,2018-09-08,1851644.0
日,2018-09-09,1481143.0
一,2018-09-10,2151451.0
二,2018-09-11,2190699.0
三,2018-09-12,2191163.0
四,2018-09-13,2205266.0
五,2018-09-14,2372248.0
六,2018-09-15,1901598.0
日,2018-09-16,1639270.0
一,2018-09-17,2141871.0
二,2018-09-18,2175866.0
三,2018-09-19,2199273.0
四,2018-09-20,2219427.0
五,2018-09-21,2414691.0
六,2018-09-22,1798490.0
日,2018-09-23,1576070.0
一,2018-09-24,1374677.0
二,2018-09-25,2163935.0
三,2018-09-26,2221276.0
四,2018-09-27,2249922.0
五,2018-09-28,2384178.0
六,2018-09-29,1930891.0
日,2018-09-30,1750079.0
