code_name,latitude,longitude,qua_cl,qua_cntu,qua_id,qua_ph,update_date,update_time
松山運動中心,25.04847,121.550445,0.49,0.04,JT57        ,7.2,2018-11-20,17:00:00  
台北小巨蛋,25.050782,121.549978,0.51,0.03,JT58        ,7.1,2018-11-20,17:00:00  
文山運動中心,24.99701,121.559673,0.51,0.02,JT59        ,7.0,2018-11-20,17:00:00  
安華加壓站,24.95931,121.518831,0.59,0.02,JT60        ,7.0,2018-11-20,17:00:00  
中山運動中心,25.0547931,121.521353,0.53,0.03,JT61        ,7.3,2018-11-20,17:00:00  
大同運動中心,25.0652302,121.5163107,0.47,0.02,JT62        ,7.0,2018-11-20,17:00:00  
大同區公所,25.0660443,121.515091,0.53,0.04,JT63        ,7.0,2018-11-20,17:00:00  
內湖運動中心,25.078116,121.575204,0.52,0.03,JT64        ,7.2,2018-11-20,17:00:00  
東湖加壓站,25.073629,121.60913,0.43,0.02,JT65        ,7.1,2018-11-20,17:00:00  
碧山里2加壓站,25.091995,121.589318,0.38,0.09,JT66        ,7.7,2018-11-20,17:00:00  
西康里加壓站,25.085808,121.557686,0.45,0.03,JT67        ,7.2,2018-11-20,17:00:00  
台北小城3加壓站,24.94612,121.501447,0.35,0.05,JT68        ,7.5,2018-11-20,17:00:00  
北投運動中心,25.116687,121.509747,0.43,0.03,JT69        ,7.3,2018-11-20,17:00:00  
士林運動中心,25.0893594,121.5215411,0.44,0.03,JT70        ,7.0,2018-11-20,17:00:00  
健康公宅1區,25.054462,121.566496,0.5,0.03,JT71        ,7.0,2018-11-20,17:00:00  
健康公宅2區,25.054507,121.567467,0.54,0.02,JT72        ,7.0,2018-11-20,17:00:00  
舊庄二加壓站,25.034475,121.634263,0.38,0.04,JT74        ,7.2,2018-11-20,17:00:00  
麗山加壓站,25.085611,121.574786,0.48,0.02,JT75        ,7.2,2018-11-20,17:00:00  
玫瑰一加壓站,24.951364,121.493871,0.44,0.02,JT76        ,7.1,2018-11-20,17:00:00  
北投第一配水池,25.140684,121.510014,0.51,0.05,JT77        ,7.2,2018-11-20,17:00:00  
陽明淨水場,25.151214,121.532248,0.61,0.06,YM00        ,6.9,2018-11-20,17:00:00  
隧道                  ,25.146347,121.525111,0.55,0.04,YM01        ,6.8,2018-11-20,17:00:00  
中正路配水池                 ,25.151813,121.543536,0.63,0.05,YM02        ,6.6,2018-11-20,17:00:00  
中山樓                 ,25.155813,121.552672,0.48,0.04,YM03        ,7.6,2018-11-20,17:00:00  
鹿角坑(三加),25.183375,121.555752,0.63,0.25,YM04        ,7.3,2018-11-20,17:00:00  
泉源國小,25.149216,121.524364,0.4,0.12,YM05        ,7.1,2018-11-20,17:00:00  
三角埔加壓站,25.128252,121.53337,0.55,0.06,YM06        ,7.0,2018-11-20,17:00:00  
